,parcel_number,address,finsqft,use,year_built,transfer_date,amount,total_rooms,bedrooms,full_baths,half_baths,conveyance_number,deed_type,num_parcels_sold,acreage,annual_tax,effective_tax_rate,school_district,appraisal_area,board_of_revision,rental_registration,homestead,owner_occupancy_credit,foreclosure,special_assessments,market_land_value,cauv_value,market_improvement_value,market_total_value,tif_value,abated_value,exempt_value,taxes_paid,st_num,apt_num,street,city,state,new_address,formatted_address,longitude,latitude,num_amount,year,month
113,099-0003-0080-00,3042 Taylor Ave,1110,510,1916,04-22-2011,"$188,000",6,3,2,0,307975.0,WD - Warranty Deed (Conv),1,0.194,"$6,422.97",69.301606,CINCINNATI CSD,02201 - CUF 01,No,No,No,Yes,No,Yes,56920,0,243080,300000,0,0,0,"$6,422.97",3042,,Taylor Ave,Cincinnati,OH,"3042 Taylor Ave Cincinnati, OH","3042 Taylor Ave, Cincinnati, OH 45220, USA",-84.5274189,39.1378913,188000,2011,4
114,103-0002-0116-00,3249 2 Jefferson Ave,1008,550,1870,02-16-2011,"$112,500",5,2,1,0,103770.0,WD - Warranty Deed (Conv),1,0.0,"$3,636.22",69.301606,CINCINNATI CSD,02105 - JEFFERSON HOUSE CONDO,No,No,No,Yes,No,Yes,20000,0,150330,170330,0,0,0,"$3,636.22",3249,2,Jefferson Ave,Cincinnati,OH,"3249 Jefferson Ave 2 Cincinnati, OH","3249 Jefferson Ave APT 2, Cincinnati, OH 45220, USA",-84.5130482,39.1398866,112500,2011,2
115,117-0003-0318-00,1874 Sunwalk Dr,1151,550,2008,02-15-2011,"$119,900",5,2,2,0,305369.0,WE - Warranty Deed (EX),1,0.0,"$2,925.65",69.301606,CINCINNATI CSD,02603 - VILLAGES OF DAYBREAK CONDO,No,No,No,Yes,No,Yes,22000,0,113840,135840,0,0,0,"$2,925.65",1874,,Sunwalk Dr,Cincinnati,OH,"1874 Sunwalk Dr Cincinnati, OH","1874 Sunwalk Dr, Cincinnati, OH 45237, USA",-84.459096,39.18461629999999,119900,2011,2
116,121-0001-0361-00,5700 Glengate Ln,1058,510,1939,06-01-2011,"$127,000",5,2,1,0,53365.0,WD - Warranty Deed (Conv),1,0.115,"$3,650.76",69.301606,CINCINNATI CSD,02700 - PLEASANT RIDGE,No,No,No,Yes,No,Yes,51840,0,118690,170530,0,0,0,"$3,650.76",5700,,Glengate Ln,Cincinnati,OH,"5700 Glengate Ln Cincinnati, OH","5700 Glengate Ln, Cincinnati, OH 45212, USA",-84.4342436,39.1761506,127000,2011,6
117,121-0005-0012-00,2935 Lawndale Ave,1123,510,1948,04-26-2011,"$100,000",5,2,1,0,19869.0,WD - Warranty Deed (Conv),1,0.098,"$3,677.59",69.301606,CINCINNATI CSD,02700 - PLEASANT RIDGE,YES(11),No,No,Yes,No,Yes,48940,0,122960,171900,0,0,0,"$3,677.59",2935,,Lawndale Ave,Cincinnati,OH,"2935 Lawndale Ave Cincinnati, OH","2935 Lawndale Ave, Cincinnati, OH 45212, USA",-84.4330009,39.1752026,100000,2011,4
118,123-0002-0024-00,3017 Mapleleaf Ave,1178,510,1927,08-29-2011,"$134,000",6,3,1,0,270716.0,WD - Warranty Deed (Conv),1,0.149,"$5,014.09",69.301606,CINCINNATI CSD,02700 - PLEASANT RIDGE,No,No,No,Yes,No,Yes,62000,0,172500,234500,0,0,0,"$5,014.09",3017,,Mapleleaf Ave,Cincinnati,OH,"3017 Mapleleaf Ave Cincinnati, OH","3017 Mapleleaf Ave, Cincinnati, OH 45213, USA",-84.43125739999999,39.1743295,134000,2011,8
119,123-0002-0104-00,3116 Auten Ave,1118,510,1924,02-01-2011,"$104,500",6,3,1,0,317549.0,WD - Warranty Deed (Conv),1,0.162,"$6,420.37",69.301606,CINCINNATI CSD,02700 - PLEASANT RIDGE,No,No,No,Yes,No,Yes,63090,0,236910,300000,0,0,0,"$6,420.37",3116,,Auten Ave,Cincinnati,OH,"3116 Auten Ave Cincinnati, OH","3116 Auten Ave, Cincinnati, OH 45213, USA",-84.42973839999999,39.1755743,104500,2011,2
120,123-0002-0120-00,3143 Auten Ave,1118,510,1925,06-01-2011,"$127,500",6,3,1,0,327063.0,WD - Warranty Deed (Conv),1,0.161,"$7,183.01",69.301606,CINCINNATI CSD,02700 - PLEASANT RIDGE,No,No,No,Yes,No,Yes,63090,0,272910,336000,0,0,0,"$7,183.01",3143,,Auten Ave,Cincinnati,OH,"3143 Auten Ave Cincinnati, OH","3143 Auten Ave, Cincinnati, OH 45213, USA",-84.4285565,39.1751604,127500,2011,6
121,124-0001-0027-00,3212 Harvest Ave,1270,510,1880,08-29-2011,"$115,500",7,3,2,0,175804.0,WD - Warranty Deed (Conv),1,0.189,"$4,532.23",69.301606,CINCINNATI CSD,02700 - PLEASANT RIDGE,YES(13),No,No,Yes,No,Yes,69420,0,141440,210860,67810,0,0,"$4,532.23",3212,,Harvest Ave,Cincinnati,OH,"3212 Harvest Ave Cincinnati, OH","3212 Harvest Ave, Cincinnati, OH 45213, USA",-84.42732319999999,39.1859617,115500,2011,8
122,125-0001-0066-00,3229 Orion Ave,1000,510,1922,07-01-2011,"$117,500",5,2,1,0,354520.0,WD - Warranty Deed (Conv),1,0.112,"$4,364.71",69.301606,CINCINNATI CSD,02700 - PLEASANT RIDGE,No,No,No,Yes,No,Yes,44540,0,159630,204170,59170,0,0,"$4,364.71",3229,,Orion Ave,Cincinnati,OH,"3229 Orion Ave Cincinnati, OH","3229 Orion Ave, Cincinnati, OH 45213, USA",-84.4261497,39.1814775,117500,2011,7
123,125-0003-0037-00,3364 Orion Ave,1202,510,1920,02-28-2011,"$115,000",5,2,1,0,253856.0,WD - Warranty Deed (Conv),1,0.181,"$4,332.11",69.301606,CINCINNATI CSD,02700 - PLEASANT RIDGE,No,No,No,Yes,No,Yes,66230,0,136170,202400,72500,0,0,"$4,332.11",3364,,Orion Ave,Cincinnati,OH,"3364 Orion Ave Cincinnati, OH","3364 Orion Ave, Cincinnati, OH 45213, USA",-84.4213082,39.1817726,115000,2011,2
124,125-0005-0034-00,6221 Robison Rd,1260,510,1953,06-08-2011,"$178,900",6,3,2,0,319567.0,WD - Warranty Deed (Conv),1,0.227,"$5,991.50",69.301606,CINCINNATI CSD,02902 - KENNEDY HEIGHTS 02,No,No,No,Yes,No,Yes,66930,0,213070,280000,110860,0,0,"$5,991.50",6221,,Robison Rd,Cincinnati,OH,"6221 Robison Rd Cincinnati, OH","6221 Robison Rd, Cincinnati, OH 45213, USA",-84.41911189999999,39.1836023,178900,2011,6
125,126-0002-0026-00,3307 S Woodmont Ave,1068,510,1927,06-03-2011,"$130,000",5,2,1,0,21601.0,WD - Warranty Deed (Conv),1,0.182,"$3,647.69",69.301606,CINCINNATI CSD,02700 - PLEASANT RIDGE,No,No,No,Yes,No,Yes,64930,0,105180,170110,0,0,0,"$3,647.69",3307,,S Woodmont Ave,Cincinnati,OH,"3307 S Woodmont Ave Cincinnati, OH","3307 S Woodmont Ave, Cincinnati, OH 45213, USA",-84.42435359999999,39.177206,130000,2011,6
126,127-0006-0032-00,5907 Kimberly Ave,1068,510,1941,03-07-2011,"$118,000",6,3,1,0,,QE - Quit Claim Deed (EX),1,0.209,"$3,999.84",69.301606,CINCINNATI CSD,02700 - PLEASANT RIDGE,No,No,No,Yes,No,Yes,63390,0,123510,186900,0,0,0,"$3,999.84",5907,,Kimberly Ave,Cincinnati,OH,"5907 Kimberly Ave Cincinnati, OH","5907 Kimberly Ave, Cincinnati, OH 45213, USA",-84.42002710000001,39.1792593,118000,2011,3
127,145-0001-0363-00,353 205 W Fourth St,1033,550,2007,03-01-2011,"$177,500",5,2,2,0,17455.0,WD - Warranty Deed (Conv),1,0.0,"$5,220.67",69.301606,CINCINNATI CSD,01721 - PARKER FLATS CONDO,No,No,No,Yes,No,Yes,36000,0,198700,234700,225970,0,0,"$5,220.67",353,205,W Fourth St,Cincinnati,OH,"353 W Fourth St 205 Cincinnati, OH","353 W 4th St UNIT 205, Cincinnati, OH 45202, USA",-84.5186701,39.098711,177500,2011,3
128,145-0001-0374-00,353 305 W Fourth St,1033,550,2007,05-03-2011,"$185,000",5,2,2,0,340876.0,WD - Warranty Deed (Conv),1,0.0,"$5,981.45",69.301606,CINCINNATI CSD,01721 - PARKER FLATS CONDO,No,No,No,Yes,No,Yes,36000,0,234170,270170,261470,0,0,"$5,981.45",353,305,W Fourth St,Cincinnati,OH,"353 W Fourth St 305 Cincinnati, OH","353 W 4th St UNIT 305, Cincinnati, OH 45202, USA",-84.5186701,39.098711,185000,2011,5
129,145-0001-0382-00,353 402 W Fourth St,1230,550,2007,08-03-2011,"$193,900",5,2,2,0,279627.0,WD - Warranty Deed (Conv),1,0.0,"$6,163.76",69.301606,CINCINNATI CSD,01721 - PARKER FLATS CONDO,No,No,No,Yes,No,Yes,36000,0,241500,277500,267050,0,0,"$6,163.76",353,402,W Fourth St,Cincinnati,OH,"353 W Fourth St 402 Cincinnati, OH","353 W 4th St UNIT 402, Cincinnati, OH 45202, USA",-84.5186701,39.098711,193900,2011,8
130,145-0001-0384-00,353 404 W Fourth St,1247,550,2007,07-08-2011,"$197,000",5,2,2,0,61465.0,WD - Warranty Deed (Conv),1,0.0,"$7,628.89",69.301606,CINCINNATI CSD,01721 - PARKER FLATS CONDO,No,No,No,Yes,No,Yes,48000,0,298080,346080,335560,0,0,"$7,628.89",353,404,W Fourth St,Cincinnati,OH,"353 W Fourth St 404 Cincinnati, OH","353 W 4th St UNIT 404, Cincinnati, OH 45202, USA",-84.5186701,39.098711,197000,2011,7
131,145-0001-0393-00,353 502 W Fourth St,1230,550,2007,07-27-2011,"$198,500",5,2,2,0,178264.0,WD - Warranty Deed (Conv),1,0.0,"$5,661.67",69.301606,CINCINNATI CSD,01721 - PARKER FLATS CONDO,No,No,No,Yes,No,Yes,36000,0,217260,253260,242670,0,0,"$5,661.67",353,502,W Fourth St,Cincinnati,OH,"353 W Fourth St 502 Cincinnati, OH","353 W 4th St UNIT 502, Cincinnati, OH 45202, USA",-84.5186701,39.098711,198500,2011,7
132,145-0001-0428-00,304 5 Mcfarland St,1070,550,1870,08-04-2011,"$255,000",5,2,2,0,341260.0,WD - Warranty Deed (Conv),1,0.0,"$6,987.81",69.301606,CINCINNATI CSD,01722 - McFARLAND LOFTS CONDO,No,No,No,Yes,No,Yes,40000,0,275000,315000,284050,0,0,"$6,987.81",304,5,Mcfarland St,Cincinnati,OH,"304 Mcfarland St 5 Cincinnati, OH","304 McFarland St APT 5, Cincinnati, OH 45202, USA",-84.5177673,39.0987077,255000,2011,8
133,151-0001-0160-00,500 405 Mt Hope Ave,1208,550,1980,04-19-2011,"$129,760",4,2,2,0,,WE - Warranty Deed (EX),1,0.0,"$2,204.30",69.301606,CINCINNATI CSD,03208 - KULLA VIKEN CONDO,YES(18),No,Yes,Yes,No,Yes,18000,0,111480,129480,0,0,0,"$2,204.30",500,405,Mt Hope Ave,Cincinnati,OH,"500 Mt Hope Ave 405 Cincinnati, OH","500 Mt Hope Ave APT 405, Cincinnati, OH 45204, USA",-84.557932,39.1004107,129760,2011,4
134,151-0001-0160-00,500 405 Mt Hope Ave,1208,550,1980,06-10-2011,"$128,760",4,2,2,0,,WE - Warranty Deed (EX),1,0.0,"$2,204.30",69.301606,CINCINNATI CSD,03208 - KULLA VIKEN CONDO,YES(18),No,Yes,Yes,No,Yes,18000,0,111480,129480,0,0,0,"$2,204.30",500,405,Mt Hope Ave,Cincinnati,OH,"500 Mt Hope Ave 405 Cincinnati, OH","500 Mt Hope Ave APT 405, Cincinnati, OH 45204, USA",-84.557932,39.1004107,128760,2011,6
135,167-0007-0068-00,7045 Fernbank Ave,1252,510,1957,06-23-2011,"$138,000",6,2,1,1,22497.0,FD - Fiduciary Deed (Conv),1,0.329,"$3,523.95",69.301606,CINCINNATI CSD,03500 - SAYLER PARK,No,No,No,Yes,No,Yes,28590,0,134520,163110,0,0,0,"$3,523.95",7045,,Fernbank Ave,Cincinnati,OH,"7045 Fernbank Ave Cincinnati, OH","7045 Fernbank Ave, Cincinnati, OH 45233, USA",-84.6979911,39.12138729999999,138000,2011,6
136,176-0021-0109-00,549 Woodlawn Ave,1160,510,1919,03-22-2011,"$272,000",5,2,1,0,18301.0,LW - Limited Warrant Deed (Conv),7,0.083,"$1,391.70",69.301606,CINCINNATI CSD,03200 - EAST PRICE HILL,YES(15),Yes,No,No,No,Yes,5280,0,57170,62450,0,0,0,"$1,391.70",549,,Woodlawn Ave,Cincinnati,OH,"549 Woodlawn Ave Cincinnati, OH","549 Woodlawn Ave, Cincinnati, OH 45205, USA",-84.5682149,39.1026097,272000,2011,3
137,179-0074-0025-00,1238 Rosemont Ave,1152,510,1910,03-22-2011,"$250,000",6,3,2,0,18300.0,LW - Limited Warrant Deed (Conv),10,0.057,"$1,970.21",69.301606,CINCINNATI CSD,03700 - WEST PRICE HILL,YES(24),Yes,No,No,No,Yes,6820,0,81750,88570,0,0,0,"$1,970.21",1238,,Rosemont Ave,Cincinnati,OH,"1238 Rosemont Ave Cincinnati, OH","1238 Rosemont Ave, Cincinnati, OH 45205, USA",-84.5826793,39.1158284,250000,2011,3
138,180-0082-0005-00,819 Overlook Ave,1227,510,1932,04-18-2011,"$100,600",5,2,1,0,19434.0,WD - Warranty Deed (Conv),1,0.082,"$2,294.13",69.301606,CINCINNATI CSD,03700 - WEST PRICE HILL,No,No,No,Yes,No,Yes,10250,0,96760,107010,0,0,0,"$2,294.13",819,,Overlook Ave,Cincinnati,OH,"819 Overlook Ave Cincinnati, OH","819 Overlook Ave, Cincinnati, OH 45238, USA",-84.60007209999999,39.1104726,100600,2011,4
139,180-0083-0208-00,1137 Alcliff Ln,1294,510,1953,08-11-2011,"$105,000",7,3,1,0,189956.0,SV - Survivorship Deed (Conv),1,0.163,"$2,978.39",69.301606,CINCINNATI CSD,03700 - WEST PRICE HILL,No,No,No,Yes,No,Yes,15330,0,123410,138740,0,0,0,"$2,978.39",1137,,Alcliff Ln,Cincinnati,OH,"1137 Alcliff Ln Cincinnati, OH","1137 Alcliff Ln, Cincinnati, OH 45238, USA",-84.61579019999999,39.1168389,105000,2011,8
140,180-0A80-0020-00,1033 Coronado Ave,1080,510,1926,04-22-2011,"$105,000",5,2,1,1,19724.0,SV - Survivorship Deed (Conv),1,0.223,"$2,179.20",69.301606,CINCINNATI CSD,03700 - WEST PRICE HILL,No,No,No,Yes,No,Yes,17670,0,83670,101340,0,0,0,"$2,179.20",1033,,Coronado Ave,Cincinnati,OH,"1033 Coronado Ave Cincinnati, OH","1033 Coronado Ave, Cincinnati, OH 45238, USA",-84.6015197,39.1125051,105000,2011,4
141,183-0002-0161-00,5040 Ralph Ave,1239,510,1931,06-17-2011,"$115,573",6,3,1,0,364876.0,SV - Survivorship Deed (Conv),1,0.196,"$2,706.10",69.301606,CINCINNATI CSD,03709 - WEST PRICE HILL 09,No,No,No,Yes,No,Yes,24750,0,101440,126190,0,0,0,"$2,706.10",5040,,Ralph Ave,Cincinnati,OH,"5040 Ralph Ave Cincinnati, OH","5040 Ralph Ave, Cincinnati, OH 45238, USA",-84.60579179999999,39.120652,115573,2011,6
142,195-0028-0200-00,4133 Witler St,976,510,1875,07-25-2011,"$290,518",5,2,1,0,230509.0,WD - Warranty Deed (Conv),1,0.057,"$1,329.50",69.301606,CINCINNATI CSD,03901 - NORTHSIDE 01,YES(12),No,No,No,No,Yes,29800,0,119080,148880,0,89230,0,"$1,329.50",4133,,Witler St,Cincinnati,OH,"4133 Witler St Cincinnati, OH","4133 Witler St, Cincinnati, OH 45223, USA",-84.5453315,39.1622011,290518,2011,7
143,196-0024-0055-00,4324 Beech Hill Ave,1296,510,1902,02-28-2011,"$131,500",5,2,1,1,360981.0,WD - Warranty Deed (Conv),1,0.068,"$4,868.81",69.301606,CINCINNATI CSD,03900 - NORTHSIDE,YES(11),No,No,Yes,No,Yes,58340,0,168950,227290,0,0,0,"$4,868.81",4324,,Beech Hill Ave,Cincinnati,OH,"4324 Beech Hill Ave Cincinnati, OH","4324 Beech Hill Ave, Cincinnati, OH 45223, USA",-84.5362308,39.1667671,131500,2011,2
144,200-0048-0047-00,4705 Hassman Ct,1240,510,2011,06-23-2011,"$194,240",5,3,2,1,161508.0,WD - Warranty Deed (Conv),1,0.173,$894.02,69.301606,CINCINNATI CSD,03905 - NORTHSIDE 05,No,No,No,Yes,No,Yes,41000,0,180960,221960,0,180960,0,$894.02,4705,,Hassman Ct,Cincinnati,OH,"4705 Hassman Ct Cincinnati, OH","4705 Hassman Ct, Cincinnati, OH 45223, USA",-84.5400561,39.17774110000001,194240,2011,6
145,204-0017-0129-00,1816 Minion Ave,1102,510,2002,03-21-2011,"$168,750",5,3,2,0,18263.0,LW - Limited Warrant Deed (Conv),5,0.134,"$3,082.49",69.301606,CINCINNATI CSD,03700 - WEST PRICE HILL,YES(18),Yes,No,No,No,Yes,14730,0,123690,138420,0,0,0,"$3,082.49",1816,,Minion Ave,Cincinnati,OH,"1816 Minion Ave Cincinnati, OH","1816 Minion Ave, Cincinnati, OH 45205, USA",-84.57534319999999,39.1210827,168750,2011,3
146,208-0059-0076-00,2940 Ferguson Rd,1134,510,1970,03-21-2011,"$168,750",5,3,2,0,18263.0,LW - Limited Warrant Deed (Conv),5,0.258,"$2,887.95",69.301606,CINCINNATI CSD,04401 - WESTWOOD 01,YES(18),Yes,No,No,No,Yes,21250,0,108030,129280,0,0,0,"$2,887.95",2940,,Ferguson Rd,Cincinnati,OH,"2940 Ferguson Rd Cincinnati, OH","2940 Ferguson Rd, Cincinnati, OH 45238, USA",-84.5997537,39.136525,168750,2011,3
147,212-0065-0073-00,3254 Renfro Ave,1179,510,1949,08-01-2011,"$105,000",5,2,1,0,138722.0,WD - Warranty Deed (Conv),1,0.19,"$2,942.52",69.301606,CINCINNATI CSD,04400 - WESTWOOD,No,No,Yes,Yes,No,Yes,22180,0,141500,163680,0,0,0,"$2,942.52",3254,,Renfro Ave,Cincinnati,OH,"3254 Renfro Ave Cincinnati, OH","3254 Renfro Ave, Cincinnati, OH 45211, USA",-84.6099917,39.1446558,105000,2011,8
148,221-0019-0314-00,1433 1 Chase Ave,830,550,1900,06-14-2011,"$111,372",4,2,1,0,22122.0,SV - Survivorship Deed (Conv),1,0.0,"$2,030.58",69.301606,CINCINNATI CSD,03906 - PARKSIDE CONDO,No,No,Yes,Yes,No,Yes,25500,0,95620,121120,0,0,0,"$2,030.58",1433,1,Chase Ave,Cincinnati,OH,"1433 Chase Ave 1 Cincinnati, OH","1433 Chase Ave #1, Cincinnati, OH 45223, USA",-84.5361796,39.162849,111372,2011,6
149,228-0001-0152-00,5595 Kiplington Dr,1296,555,1990,08-17-2011,"$165,000",6,2,2,0,358009.0,TE - Trustees Deed (EX),1,0.076,"$2,839.92",69.301606,CINCINNATI CSD,04202 - KIPLINGTON LANDO,YES(15),No,Yes,Yes,No,No,32000,0,127770,159770,0,0,0,"$2,839.92",5595,,Kiplington Dr,Cincinnati,OH,"5595 Kiplington Dr Cincinnati, OH","5595 Kiplington Dr, Cincinnati, OH 45239, USA",-84.56829929999999,39.1988666,165000,2011,8
150,228-0004-0236-00,5416 Scarletoak Dr,1070,550,2004,04-27-2011,"$125,000",6,2,2,1,176431.0,SE - Survivorship Deed (EX),1,0.0,"$3,680.25",69.301606,CINCINNATI CSD,04208 - MT AIRY OAKS CONDO,No,No,No,Yes,No,Yes,28000,0,144180,172180,0,0,0,"$3,680.25",5416,,Scarletoak Dr,Cincinnati,OH,"5416 Scarletoak Dr Cincinnati, OH","5416 Scarletoak Dr, Cincinnati, OH 45239, USA",-84.5647347,39.19212,125000,2011,4
151,231-0003-0092-00,5438 Vogel Rd,1292,510,1947,03-14-2011,"$105,000",7,4,1,1,347056.0,WD - Warranty Deed (Conv),1,0.162,"$3,052.39",69.301606,CINCINNATI CSD,04200 - MT AIRY,YES(94),No,No,No,No,Yes,24540,0,112460,137000,67440,0,0,$0.00,5438,,Vogel Rd,Cincinnati,OH,"5438 Vogel Rd Cincinnati, OH","5438 Vogel Rd, Cincinnati, OH 45239, USA",-84.58030409999999,39.1906772,105000,2011,3
152,235-0003-0045-00,1185 Homeside Ave,1020,510,2010,02-04-2011,"$100,000",6,3,1,0,214994.0,WD - Warranty Deed (Conv),1,0.173,"$3,155.27",69.301606,CINCINNATI CSD,05100 - COLLEGE HILL,No,Yes,No,No,No,Yes,29680,0,112030,141710,0,0,0,"$3,155.27",1185,,Homeside Ave,Cincinnati,OH,"1185 Homeside Ave Cincinnati, OH","1185 Homeside Ave, Cincinnati, OH 45224, USA",-84.5387709,39.1997209,100000,2011,2
153,500-0042-0130-00,1666 Turquoise Dr,1188,510,1965,08-11-2011,"$128,000",5,3,1,1,166364.0,AF - Affidavit (EX),1,0.169,"$4,513.67",63.814706,FOREST HILLS LSD,50001 - ANDERSON 01,No,No,No,Yes,No,Yes,40630,0,182220,222850,0,0,0,"$4,513.67",1666,,Turquoise Dr,Cincinnati,OH,"1666 Turquoise Dr Cincinnati, OH","1666 Turquoise Dr, Cincinnati, OH 45255, USA",-84.32441759999999,39.0816616,128000,2011,8
154,500-0044-0064-00,1597 Pinebluff Ln,1280,510,1967,05-24-2011,"$151,000",6,3,2,1,306806.0,WD - Warranty Deed (Conv),1,0.181,"$5,929.59",63.814706,FOREST HILLS LSD,50001 - ANDERSON 01,No,No,No,Yes,No,Yes,39940,0,253060,293000,0,0,0,"$5,929.59",1597,,Pinebluff Ln,Cincinnati,OH,"1597 Pinebluff Ln Cincinnati, OH","1597 Pinebluff Ln, Cincinnati, OH 45255, USA",-84.3166256,39.0796777,151000,2011,5
155,500-0044-0186-00,8577 Northport Dr,1080,510,1964,04-19-2011,"$119,900",5,3,1,1,310283.0,WD - Warranty Deed (Conv),1,0.2,"$5,213.27",63.814706,FOREST HILLS LSD,50001 - ANDERSON 01,No,No,No,Yes,No,Yes,43220,0,214280,257500,0,0,0,"$5,213.27",8577,,Northport Dr,Cincinnati,OH,"8577 Northport Dr Cincinnati, OH","8577 Northport Dr, Cincinnati, OH 45255, USA",-84.31535319999999,39.07808319999999,119900,2011,4
156,500-0044-0238-00,8585 Linderwood Ln,1080,510,1963,06-21-2011,"$110,000",6,3,2,0,22400.0,WD - Warranty Deed (Conv),1,0.169,"$4,414.07",63.814706,FOREST HILLS LSD,50001 - ANDERSON 01,No,No,No,No,No,Yes,39720,0,171830,211550,0,0,0,"$4,414.07",8585,,Linderwood Ln,Cincinnati,OH,"8585 Linderwood Ln Cincinnati, OH","8585 Linderwood Ln, Cincinnati, OH 45255, USA",-84.3151718,39.0773054,110000,2011,6
157,500-0072-0091-00,8677 Susanview Ln,1297,510,1957,06-30-2011,"$167,400",6,3,1,0,22806.0,WD - Warranty Deed (Conv),1,0.479,"$3,750.65",63.814706,FOREST HILLS LSD,500102 - ANDERSON 102,No,No,No,Yes,No,Yes,44400,0,140650,185050,0,0,0,"$3,750.65",8677,,Susanview Ln,Cincinnati,OH,"8677 Susanview Ln Cincinnati, OH","8677 Susanview Ln, Cincinnati, OH 45244, USA",-84.30919759999999,39.1178512,167400,2011,6
158,500-0122-0103-00,1111 137 Wittshire Ln,878,550,1990,08-04-2011,"$140,000",5,2,2,0,24319.0,WD - Warranty Deed (Conv),1,0.0,"$4,279.66",63.814706,FOREST HILLS LSD,50042 - WITTSHIRE GLEN CONDO,No,No,No,Yes,No,Yes,28600,0,183120,211720,0,0,0,"$4,279.66",1111,137,Wittshire Ln,Cincinnati,OH,"1111 Wittshire Ln 137 Cincinnati, OH","1111 Wittshire Ln #137, Cincinnati, OH 45255, USA",-84.3319904,39.0703351,140000,2011,8
159,500-0124-0050-00,8146 Forest Rd,996,510,1932,05-10-2011,"$110,000",5,3,1,1,154375.0,WE - Warranty Deed (EX),1,0.256,"$2,974.95",63.814706,FOREST HILLS LSD,50024 - ANDERSON 24,No,No,No,Yes,No,Yes,37570,0,109070,146640,0,0,0,"$2,974.95",8146,,Forest Rd,Cincinnati,OH,"8146 Forest Rd Cincinnati, OH","8146 Forest Rd, Cincinnati, OH 45255, USA",-84.33116199999999,39.0639475,110000,2011,5
160,500-0132-0019-00,2094 Evanor Ln,1152,510,1956,03-11-2011,"$153,000",5,3,2,0,69117.0,WD - Warranty Deed (Conv),1,0.459,"$4,952.59",63.814706,FOREST HILLS LSD,50097 - ANDERSON 97,No,No,No,Yes,No,Yes,51280,0,193300,244580,0,0,0,"$4,952.59",2094,,Evanor Ln,Cincinnati,OH,"2094 Evanor Ln Cincinnati, OH","2094 Evanor Ln, Cincinnati, OH 45244, USA",-84.33300129999999,39.0908542,153000,2011,3
161,500-0132-0045-00,1885 Wanninger Ln,1057,510,1950,08-19-2011,"$120,000",5,2,2,1,248590.0,WD - Warranty Deed (Conv),1,0.309,"$4,652.31",63.814706,FOREST HILLS LSD,50098 - ANDERSON 98,No,No,No,No,No,Yes,60640,0,162360,223000,0,0,0,"$4,652.31",1885,,Wanninger Ln,Cincinnati,OH,"1885 Wanninger Ln Cincinnati, OH","1885 Wanninger Ln, Cincinnati, OH 45255, USA",-84.32846409999999,39.0862654,120000,2011,8
162,500-0201-0112-00,1398 Columbus Ave,1161,510,1954,05-19-2011,"$116,750",5,3,1,0,20897.0,SV - Survivorship Deed (Conv),1,0.264,"$4,057.51",63.814706,FOREST HILLS LSD,50005 - ANDERSON 05,No,No,No,Yes,No,Yes,39470,0,160810,200280,0,0,0,"$4,057.51",1398,,Columbus Ave,Cincinnati,OH,"1398 Columbus Ave Cincinnati, OH","1398 Columbus Ave, Cincinnati, OH 45255, USA",-84.3418112,39.0770198,116750,2011,5
163,500-0202-0162-00,1512 Cohasset Dr,1184,550,1986,06-30-2011,"$140,000",6,2,2,1,22818.0,SV - Survivorship Deed (Conv),1,0.0,"$3,843.58",63.814706,FOREST HILLS LSD,50037 - COMMONS OF ANDERSON CONDO,No,No,Yes,Yes,No,Yes,33000,0,183610,216610,0,0,0,"$3,843.58",1512,,Cohasset Dr,Cincinnati,OH,"1512 Cohasset Dr Cincinnati, OH","1512 Cohasset Dr, Cincinnati, OH 45255, USA",-84.3458986,39.0791744,140000,2011,6
164,500-0202-0174-00,1500 Cohasset Dr,1184,550,1986,04-14-2011,"$153,000",6,3,2,1,332161.0,FD - Fiduciary Deed (Conv),1,0.0,"$4,470.92",63.814706,FOREST HILLS LSD,50037 - COMMONS OF ANDERSON CONDO,No,No,No,No,No,Yes,33000,0,181700,214700,0,0,0,"$4,470.92",1500,,Cohasset Dr,Cincinnati,OH,"1500 Cohasset Dr Cincinnati, OH","1500 Cohasset Dr, Cincinnati, OH 45255, USA",-84.3459476,39.0788574,153000,2011,4
165,500-0211-0291-00,7462 Towerview Ln,1112,510,1951,06-08-2011,"$120,000",4,2,1,0,21845.0,WD - Warranty Deed (Conv),1,0.461,"$4,468.73",63.814706,FOREST HILLS LSD,50098 - ANDERSON 98,No,No,No,No,No,Yes,57260,0,156920,214180,0,0,0,"$4,468.73",7462,,Towerview Ln,Cincinnati,OH,"7462 Towerview Ln Cincinnati, OH","7462 Towerview Ln, Cincinnati, OH 45255, USA",-84.3494834,39.0894834,120000,2011,6
166,500-0214-0176-00,1621 Braintree Dr,1184,550,1984,06-16-2011,"$169,700",6,3,2,1,329590.0,WD - Warranty Deed (Conv),1,0.0,"$4,371.36",63.814706,FOREST HILLS LSD,50037 - COMMONS OF ANDERSON CONDO,No,No,No,Yes,No,Yes,33000,0,183270,216270,0,0,0,"$4,371.36",1621,,Braintree Dr,Cincinnati,OH,"1621 Braintree Dr Cincinnati, OH","1621 Braintree Dr, Cincinnati, OH 45255, USA",-84.34829409999999,39.0814213,169700,2011,6
