,parcel_number,address,finsqft,use,year_built,transfer_date,amount,total_rooms,bedrooms,full_baths,half_baths,conveyance_number,deed_type,num_parcels_sold,acreage,annual_tax,effective_tax_rate,school_district,appraisal_area,board_of_revision,rental_registration,homestead,owner_occupancy_credit,foreclosure,special_assessments,market_land_value,cauv_value,market_improvement_value,market_total_value,tif_value,abated_value,exempt_value,taxes_paid,st_num,apt_num,street,city,state,new_address,formatted_address,longitude,latitude,year,month,num_amount
163,076-0002-0361-00,15 4 E Court St,1024,550,1875,04-16-2009,"$169,000",4,1,1,0,354256.0,WD - Warranty Deed (Conv),1,0.0,"$4,701.03",69.301606,CINCINNATI CSD,01737 - THE 15 CONDOMINIIUM,No,No,No,No,No,Yes,40000,0,165000,205000,177490,0,0,"$4,701.03",15,4,E Court St,Cincinnati,OH,"15 E Court St 4 Cincinnati, OH","15 E Court St #4, Cincinnati, OH 45202, USA",-84.514907,39.1059113,2009,4,169000
164,076-0002-0364-00,1122 201A Race St,1228,550,1880,04-16-2009,"$249,015",3,1,1,0,221075.0,WD - Warranty Deed (Conv),1,0.0,"$7,962.95",69.301606,CINCINNATI CSD,01800 - OVER THE RHINE,No,No,No,No,No,Yes,40000,0,308420,348420,321820,0,0,"$7,962.95",1122,201A,Race St,Cincinnati,OH,"1122 Race St 201A Cincinnati, OH","1122 Race St #201a, Cincinnati, OH 45202, USA",-84.5160559,39.1077722,2009,4,249015
165,080-0002-0337-00,1341 Main St,1224,550,1894,04-23-2009,"$100,000",3,1,1,0,244396.0,SV - Survivorship Deed (Conv),1,0.0,"$4,317.17",69.301606,CINCINNATI CSD,01815 - COLLINS LOFTS CONDO,No,No,No,Yes,No,Yes,30000,0,163500,193500,0,0,0,"$4,317.17",1341,,Main St,Cincinnati,OH,"1341 Main St Cincinnati, OH","1341 Main St, Cincinnati, OH 45202, USA",-84.512333,39.1110225,2009,4,100000
166,081-0004-0290-00,1207 E Vine St,963,550,1900,07-02-2009,"$139,000",4,1,1,0,310694.0,WD - Warranty Deed (Conv),1,0.0,"$5,354.16",69.301606,CINCINNATI CSD,01821 - DUNCANSON LOFTS CONDO,No,No,No,Yes,No,Yes,20000,0,220000,240000,231510,0,0,"$5,354.16",1207,,E Vine St,Cincinnati,OH,"1207 E Vine St Cincinnati, OH","1207 Vine St, Cincinnati, OH 45202, USA",-84.5151119,39.10852999999999,2009,7,139000
167,081-0004-0293-00,1207 H Vine St,1035,550,1900,06-29-2009,"$151,000",5,2,1,1,116965.0,WD - Warranty Deed (Conv),1,0.0,"$5,194.55",69.301606,CINCINNATI CSD,01821 - DUNCANSON LOFTS CONDO,No,No,No,Yes,No,Yes,20000,0,211300,231300,222200,0,0,"$5,194.55",1207,,H Vine St,Cincinnati,OH,"1207 H Vine St Cincinnati, OH","1207 Vine St, Cincinnati, OH 45202, USA",-84.5151119,39.10852999999999,2009,6,151000
168,081-0004-0296-00,1207 K Vine St,1134,550,1900,06-29-2009,"$154,000",5,2,1,1,350297.0,QE - Quit Claim Deed (EX),1,0.0,"$5,573.66",69.301606,CINCINNATI CSD,01821 - DUNCANSON LOFTS CONDO,No,No,No,No,No,Yes,20000,0,219500,239500,229650,0,0,"$5,573.66",1207,,K Vine St,Cincinnati,OH,"1207 K Vine St Cincinnati, OH","1207 Vine St, Cincinnati, OH 45202, USA",-84.5151119,39.10852999999999,2009,6,154000
169,081-0004-0328-00,1222 1 Republic St,1020,550,1930,08-10-2009,"$140,100",3,1,1,1,270812.0,WD - Warranty Deed (Conv),1,0.0,"$4,690.24",69.301606,CINCINNATI CSD,01829 - MOTTAINAI LOFTS CONDO,No,No,No,Yes,No,Yes,45000,0,162500,207500,191190,0,0,"$4,690.24",1222,1,Republic St,Cincinnati,OH,"1222 Republic St 1 Cincinnati, OH","1222 Republic St Apt 1, Cincinnati, OH 45202, USA",-84.51549220000001,39.1084727,2009,8,140100
170,081-0004-0329-00,1222 2 Republic St,1188,550,1930,07-14-2009,"$162,576",3,1,1,1,323932.0,WD - Warranty Deed (Conv),1,0.0,"$9,922.69",69.301606,CINCINNATI CSD,01829 - MOTTAINAI LOFTS CONDO,No,No,No,No,No,Yes,45000,0,225000,270000,251200,0,0,$0.00,1222,2,Republic St,Cincinnati,OH,"1222 Republic St 2 Cincinnati, OH","1222 Republic St Apt 2, Cincinnati, OH 45202, USA",-84.51549220000001,39.1084727,2009,7,162576
171,081-0004-0331-00,1222 4 Republic St,1083,550,1930,08-24-2009,"$142,200",3,1,1,1,334765.0,WD - Warranty Deed (Conv),1,0.0,"$5,261.84",69.301606,CINCINNATI CSD,01829 - MOTTAINAI LOFTS CONDO,No,No,No,Yes,No,Yes,45000,0,190000,235000,217160,0,0,"$5,261.84",1222,4,Republic St,Cincinnati,OH,"1222 Republic St 4 Cincinnati, OH","1222 Republic St APT 4, Cincinnati, OH 45202, USA",-84.51560169999999,39.1090765,2009,8,142200
172,081-0004-0332-00,1222 5 Republic St,1150,550,1930,06-30-2009,"$169,000",5,1,1,1,50210.0,WD - Warranty Deed (Conv),1,0.0,"$6,596.36",69.301606,CINCINNATI CSD,01829 - MOTTAINAI LOFTS CONDO,No,No,No,Yes,No,Yes,45000,0,251900,296900,278390,0,0,"$6,596.36",1222,5,Republic St,Cincinnati,OH,"1222 Republic St 5 Cincinnati, OH","1222 Republic St APT 5, Cincinnati, OH 45202, USA",-84.51560169999999,39.1090765,2009,6,169000
173,083-0001-0363-00,15 404 W Fourth St,1285,550,1875,06-26-2009,"$230,500",5,2,1,1,228638.0,WD - Warranty Deed (Conv),1,0.0,"$6,885.56",69.301606,CINCINNATI CSD,01719 - THE MCALPIN CONDO,No,No,No,Yes,No,Yes,45000,0,264910,309910,260910,0,0,"$6,885.56",15,404,W Fourth St,Cincinnati,OH,"15 W Fourth St 404 Cincinnati, OH","15 W 4th St UNIT 404, Cincinnati, OH 45202, USA",-84.5135251,39.0995234,2009,6,230500
174,083-0001-0367-00,15 408 W Fourth St,1226,550,1875,06-05-2009,"$290,000",4,1,1,1,23063.0,WD - Warranty Deed (Conv),1,0.0,"$6,639.80",69.301606,CINCINNATI CSD,01719 - THE MCALPIN CONDO,No,No,No,Yes,No,Yes,45000,0,254740,299740,250740,0,0,"$6,639.80",15,408,W Fourth St,Cincinnati,OH,"15 W Fourth St 408 Cincinnati, OH","15 W 4th St UNIT 408, Cincinnati, OH 45202, USA",-84.5135251,39.0995234,2009,6,290000
175,084-0006-0061-00,400 502 Pike St,984,550,1905,03-12-2009,"$185,000",6,2,1,0,184674.0,QE - Quit Claim Deed (EX),1,0.0,"$5,541.92",69.301606,CINCINNATI CSD,01717 - PARK PLACE AT LYTLE CONDO,No,No,No,Yes,No,Yes,40000,0,208910,248910,0,0,0,"$5,541.92",400,502,Pike St,Cincinnati,OH,"400 Pike St 502 Cincinnati, OH","400 Pike St UNIT 502, Cincinnati, OH 45202, USA",-84.5031132,39.1025967,2009,3,185000
176,084-0006-0061-00,400 502 Pike St,984,550,1905,03-12-2009,"$180,000",6,2,1,0,184674.0,QE - Quit Claim Deed (EX),1,0.0,"$5,541.92",69.301606,CINCINNATI CSD,01717 - PARK PLACE AT LYTLE CONDO,No,No,No,Yes,No,Yes,40000,0,208910,248910,0,0,0,"$5,541.92",400,502,Pike St,Cincinnati,OH,"400 Pike St 502 Cincinnati, OH","400 Pike St UNIT 502, Cincinnati, OH 45202, USA",-84.5031132,39.1025967,2009,3,180000
177,084-0006-0062-00,400 503 Pike St,1008,550,1905,03-12-2009,"$178,000",5,1,1,0,19620.0,WD - Warranty Deed (Conv),1,0.0,"$6,297.15",69.301606,CINCINNATI CSD,01717 - PARK PLACE AT LYTLE CONDO,No,No,No,Yes,No,Yes,40000,0,244420,284420,0,0,0,"$6,297.15",400,503,Pike St,Cincinnati,OH,"400 Pike St 503 Cincinnati, OH","400 Pike St UNIT 503, Cincinnati, OH 45202, USA",-84.5031132,39.1025967,2009,3,178000
178,092-0003-0304-00,207 7A E University Ave,905,550,2003,06-25-2009,"$145,900",5,2,1,0,74056.0,WD - Warranty Deed (Conv),1,0.0,"$4,086.81",69.301606,CINCINNATI CSD,02108 - COURTYARD @ E UNIVERSITY,No,No,No,Yes,No,Yes,25000,0,166280,191280,0,0,0,"$4,086.81",207,7A,E University Ave,Cincinnati,OH,"207 E University Ave 7A Cincinnati, OH","207 E University Ave UNIT 7A, Cincinnati, OH 45219, USA",-84.5056423,39.13227759999999,2009,6,145900
179,092-0003-0306-00,207 9A E University Ave,905,550,2003,06-12-2009,"$150,000",5,2,1,0,23462.0,WD - Warranty Deed (Conv),1,0.0,"$4,245.77",69.301606,CINCINNATI CSD,02108 - COURTYARD @ E UNIVERSITY,No,No,No,No,No,Yes,25000,0,166280,191280,0,0,0,"$4,245.77",207,9A,E University Ave,Cincinnati,OH,"207 E University Ave 9A Cincinnati, OH","207 E University Ave Unit 9a, Cincinnati, OH 45219, USA",-84.5056423,39.13227759999999,2009,6,150000
180,092-0003-0307-00,207 10A E University Ave,905,550,2003,06-25-2009,"$140,000",5,2,1,0,76083.0,WD - Warranty Deed (Conv),1,0.0,"$4,235.65",69.301606,CINCINNATI CSD,02108 - COURTYARD @ E UNIVERSITY,No,Yes,No,No,No,Yes,25000,0,165830,190830,0,0,0,"$4,235.65",207,10A,E University Ave,Cincinnati,OH,"207 E University Ave 10A Cincinnati, OH","207 E University Ave Unit 10a, Cincinnati, OH 45219, USA",-84.5056423,39.13227759999999,2009,6,140000
181,094-0006-0069-00,207 Dorsey St,1204,510,1890,07-29-2009,"$120,000",4,2,1,1,,QE - Quit Claim Deed (EX),1,0.036,"$3,374.66",69.301606,CINCINNATI CSD,02003 - MT AUBURN 03,YES(11),No,No,Yes,No,Yes,57900,0,99970,157870,91420,0,0,"$3,374.66",207,,Dorsey St,Cincinnati,OH,"207 Dorsey St Cincinnati, OH","207 Dorsey St, Cincinnati, OH 45202, USA",-84.51168899999999,39.116326,2009,7,120000
182,098-0006-0211-00,2527 Ravine St,1148,550,2002,07-31-2009,"$172,000",5,2,2,1,271332.0,QE - Quit Claim Deed (EX),1,0.0,"$4,353.67",69.301606,CINCINNATI CSD,02207 - WOODSIDE PLACE CONDO,No,No,No,No,No,Yes,33000,0,163210,196210,0,0,0,"$4,353.67",2527,,Ravine St,Cincinnati,OH,"2527 Ravine St Cincinnati, OH","2527 Ravine St, Cincinnati, OH 45219, USA",-84.5255371,39.1294174,2009,7,172000
183,098-0006-0217-00,615 Straight St,1148,550,2003,05-29-2009,"$165,000",5,2,2,1,299481.0,WD - Warranty Deed (Conv),1,0.0,"$5,336.08",69.301606,CINCINNATI CSD,02207 - WOODSIDE PLACE CONDO,YES(11),No,No,Yes,No,Yes,33000,0,216900,249900,0,0,0,"$5,336.08",615,,Straight St,Cincinnati,OH,"615 Straight St Cincinnati, OH","615 Straight St, Cincinnati, OH 45219, USA",-84.52600369999999,39.1298543,2009,5,165000
184,117-0003-0315-00,1868 Sunwalk Dr,1274,550,2008,03-30-2009,"$165,000",6,3,2,0,20260.0,WD - Warranty Deed (Conv),1,0.0,"$3,010.33",69.301606,CINCINNATI CSD,02603 - VILLAGES OF DAYBREAK CONDO,No,No,No,Yes,No,Yes,22000,0,117790,139790,0,0,0,"$3,010.33",1868,,Sunwalk Dr,Cincinnati,OH,"1868 Sunwalk Dr Cincinnati, OH","1868 Sunwalk Dr, Cincinnati, OH 45237, USA",-84.459096,39.18461629999999,2009,3,165000
185,121-0001-0228-00,5763 Marmion Ln,1031,510,1928,07-10-2009,"$131,000",5,2,1,0,88040.0,WD - Warranty Deed (Conv),1,0.131,"$3,832.64",69.301606,CINCINNATI CSD,02700 - PLEASANT RIDGE,No,No,No,Yes,No,Yes,56350,0,122640,178990,0,0,0,"$3,832.64",5763,,Marmion Ln,Cincinnati,OH,"5763 Marmion Ln Cincinnati, OH","5763 Marmion Ln, Cincinnati, OH 45212, USA",-84.4327137,39.1781052,2009,7,131000
186,121-0001-0359-00,5706 Glengate Ln,1174,510,1941,04-13-2009,"$125,700",6,2,1,0,74712.0,WD - Warranty Deed (Conv),1,0.11,"$3,738.63",69.301606,CINCINNATI CSD,02700 - PLEASANT RIDGE,No,No,No,Yes,No,Yes,51840,0,122630,174470,0,0,0,"$3,738.63",5706,,Glengate Ln,Cincinnati,OH,"5706 Glengate Ln Cincinnati, OH","5706 Glengate Ln, Cincinnati, OH 45212, USA",-84.4342419,39.17626790000001,2009,4,125700
187,121-0001-0445-00,6155 Fairway Dr,1286,510,1950,03-11-2009,"$129,900",6,3,1,0,185335.0,SV - Survivorship Deed (Conv),1,0.326,"$5,008.30",69.301606,CINCINNATI CSD,02700 - PLEASANT RIDGE,YES(10),No,No,Yes,No,Yes,100990,0,132660,233650,0,0,0,"$5,008.30",6155,,Fairway Dr,Cincinnati,OH,"6155 Fairway Dr Cincinnati, OH","6155 Fairway Dr, Cincinnati, OH 45212, USA",-84.4376185,39.1802272,2009,3,129900
188,121-0005-0021-00,2918 Lawndale Ave,1099,510,1949,05-13-2009,"$121,650",5,2,1,1,357142.0,WD - Warranty Deed (Conv),1,0.107,"$3,719.36",69.301606,CINCINNATI CSD,02700 - PLEASANT RIDGE,No,No,No,Yes,No,Yes,51240,0,122500,173740,0,0,0,"$3,719.36",2918,,Lawndale Ave,Cincinnati,OH,"2918 Lawndale Ave Cincinnati, OH","2918 Lawndale Ave, Cincinnati, OH 45212, USA",-84.4336573,39.175639,2009,5,121650
189,121-0005-0039-00,5695 Marmion Ln,912,510,1948,07-31-2009,"$112,500",6,3,1,1,139224.0,WD - Warranty Deed (Conv),1,0.14,"$3,033.22",69.301606,CINCINNATI CSD,02700 - PLEASANT RIDGE,No,No,No,Yes,No,Yes,59100,0,82760,141860,0,0,0,"$3,033.22",5695,,Marmion Ln,Cincinnati,OH,"5695 Marmion Ln Cincinnati, OH","5695 Marmion Ln, Cincinnati, OH 45212, USA",-84.43259069999999,39.1757906,2009,7,112500
190,122-0001-0091-00,6228 Bona Vista Pl,836,510,1921,06-05-2009,"$118,000",4,2,1,0,113033.0,WD - Warranty Deed (Conv),1,0.22,"$3,571.63",69.301606,CINCINNATI CSD,02700 - PLEASANT RIDGE,YES(01),No,No,Yes,No,Yes,60110,0,106110,166220,51220,0,0,"$3,571.63",6228,,Bona Vista Pl,Cincinnati,OH,"6228 Bona Vista Pl Cincinnati, OH","6228 Bona Vista Pl, Cincinnati, OH 45213, USA",-84.4319059,39.1865116,2009,6,118000
191,122-0001-0127-00,6414 Fairhurst Ave,998,510,1939,06-05-2009,"$125,000",5,2,1,0,66686.0,WD - Warranty Deed (Conv),1,0.14,"$3,505.41",69.301606,CINCINNATI CSD,02700 - PLEASANT RIDGE,No,No,No,Yes,No,Yes,49760,0,113730,163490,0,0,0,"$3,505.41",6414,,Fairhurst Ave,Cincinnati,OH,"6414 Fairhurst Ave Cincinnati, OH","6414 Fairhurst Ave, Cincinnati, OH 45213, USA",-84.4372441,39.1880719,2009,6,125000
192,122-0001-0417-00,6208 Girard Ave,1012,510,1948,04-09-2009,"$110,000",5,2,1,0,225310.0,QE - Quit Claim Deed (EX),1,0.125,"$3,886.53",69.301606,CINCINNATI CSD,02700 - PLEASANT RIDGE,No,Yes,No,No,No,Yes,62000,0,112730,174730,48020,0,0,"$3,886.53",6208,,Girard Ave,Cincinnati,OH,"6208 Girard Ave Cincinnati, OH","6208 Girard Ave, Cincinnati, OH 45213, USA",-84.4365026,39.185015,2009,4,110000
193,123-0002-0105-00,3114 Auten Ave,1034,510,1925,08-19-2009,"$134,000",6,2,1,0,260487.0,WE - Warranty Deed (EX),1,0.159,"$3,680.66",69.301606,CINCINNATI CSD,02700 - PLEASANT RIDGE,No,No,No,Yes,No,Yes,63090,0,108660,171750,0,0,0,"$3,680.66",3114,,Auten Ave,Cincinnati,OH,"3114 Auten Ave Cincinnati, OH","3114 Auten Ave, Cincinnati, OH 45213, USA",-84.4298823,39.1755891,2009,8,134000
194,123-0003-0122-00,5446 Lester Rd,1044,510,1921,06-25-2009,"$115,000",4,2,1,0,300122.0,WD - Warranty Deed (Conv),1,0.229,"$5,328.57",69.301606,CINCINNATI CSD,02700 - PLEASANT RIDGE,No,No,No,Yes,No,Yes,62000,0,187000,249000,0,0,0,"$5,328.57",5446,,Lester Rd,Cincinnati,OH,"5446 Lester Rd Cincinnati, OH","5446 Lester Rd, Cincinnati, OH 45213, USA",-84.43235899999999,39.173174,2009,6,115000
195,124-0004-0051-00,6244 Kincaid Rd,1245,510,1924,07-29-2009,"$129,200",6,2,1,0,25812.0,WD - Warranty Deed (Conv),1,0.188,"$4,178.44",69.301606,CINCINNATI CSD,02700 - PLEASANT RIDGE,No,No,No,Yes,No,Yes,66760,0,128240,195000,63460,0,0,"$4,178.44",6244,,Kincaid Rd,Cincinnati,OH,"6244 Kincaid Rd Cincinnati, OH","6244 Kincaid Rd, Cincinnati, OH 45213, USA",-84.4248676,39.1849297,2009,7,129200
196,126-0001-0043-00,5919 Pandora Ave,1228,510,1935,04-02-2009,"$159,000",5,2,1,1,148192.0,WD - Warranty Deed (Conv),1,0.206,"$4,462.61",69.301606,CINCINNATI CSD,02700 - PLEASANT RIDGE,No,No,No,Yes,No,Yes,68600,0,139810,208410,0,0,0,"$4,462.61",5919,,Pandora Ave,Cincinnati,OH,"5919 Pandora Ave Cincinnati, OH","5919 Pandora Ave, Cincinnati, OH 45213, USA",-84.4263167,39.1792646,2009,4,159000
197,126-0002-0052-00,5816 Woodmont Ave,1166,510,1923,07-06-2009,"$164,900",5,3,2,0,332903.0,WD - Warranty Deed (Conv),2,0.17,"$5,580.14",69.301606,CINCINNATI CSD,02700 - PLEASANT RIDGE,YES(16),No,No,Yes,No,Yes,64930,0,195830,260760,0,0,0,"$5,580.14",5816,,Woodmont Ave,Cincinnati,OH,"5816 Woodmont Ave Cincinnati, OH","5816 Woodmont Ave, Cincinnati, OH 45213, USA",-84.4244951,39.17807699999999,2009,7,164900
198,126-0002-0133-00,5899 E Woodmont Ave,1024,510,1926,04-02-2009,"$122,000",5,2,1,1,244586.0,WD - Warranty Deed (Conv),1,0.209,"$4,807.59",69.301606,CINCINNATI CSD,02700 - PLEASANT RIDGE,No,No,No,Yes,No,Yes,45570,0,179430,225000,0,0,0,"$4,807.59",5899,,E Woodmont Ave,Cincinnati,OH,"5899 E Woodmont Ave Cincinnati, OH","5899 E Woodmont Ave, Cincinnati, OH 45213, USA",-84.4231719,39.1784253,2009,4,122000
199,127-0006-0019-00,5918 Kimberly Ave,1056,510,1940,05-26-2009,"$134,000",5,2,1,0,270378.0,SE - Survivorship Deed (EX),1,0.116,"$3,646.33",69.301606,CINCINNATI CSD,02700 - PLEASANT RIDGE,No,No,No,Yes,No,Yes,47040,0,123370,170410,0,0,0,"$3,646.33",5918,,Kimberly Ave,Cincinnati,OH,"5918 Kimberly Ave Cincinnati, OH","5918 Kimberly Ave, Cincinnati, OH 45213, USA",-84.4194442,39.1798495,2009,5,134000
200,134-0005-0440-00,1011 John St,1144,555,1991,06-16-2009,"$152,000",5,2,1,1,41220.0,WE - Warranty Deed (EX),1,0.025,"$5,640.20",69.301606,CINCINNATI CSD,02306 - LONGWORTH SQUARE LANDO,YES(09),No,No,Yes,No,Yes,35300,0,228880,264180,130170,0,0,"$5,640.20",1011,,John St,Cincinnati,OH,"1011 John St Cincinnati, OH","1011 John St, Cincinnati, OH 45203, USA",-84.5226236,39.1059712,2009,6,152000
201,134-0005-0514-00,419 Elizabeth St,1144,555,1993,07-09-2009,"$146,500",6,3,2,1,320506.0,WD - Warranty Deed (Conv),1,0.03,"$7,269.85",69.301606,CINCINNATI CSD,02306 - LONGWORTH SQUARE LANDO,No,No,No,Yes,No,Yes,35300,0,303700,339000,209710,0,0,"$7,269.85",419,,Elizabeth St,Cincinnati,OH,"419 Elizabeth St Cincinnati, OH","419 Elizabeth St, Cincinnati, OH 45203, USA",-84.5217478,39.1061652,2009,7,146500
202,145-0001-0364-00,353 206 W Fourth St,1164,550,2007,04-10-2009,"$219,900",5,2,2,0,281615.0,WD - Warranty Deed (Conv),1,0.0,"$5,827.64",69.301606,CINCINNATI CSD,01721 - PARKER FLATS CONDO,No,No,No,Yes,No,Yes,36000,0,224000,260000,250320,0,0,"$5,827.64",353,206,W Fourth St,Cincinnati,OH,"353 W Fourth St 206 Cincinnati, OH","353 W 4th St UNIT 206, Cincinnati, OH 45202, USA",-84.5186701,39.098711,2009,4,219900
203,145-0001-0371-00,353 302 W Fourth St,1230,550,2007,02-06-2009,"$265,000",5,2,2,0,258200.0,WD - Warranty Deed (Conv),1,0.0,"$6,312.52",69.301606,CINCINNATI CSD,01721 - PARKER FLATS CONDO,No,No,No,Yes,No,Yes,36000,0,249000,285000,274640,0,0,"$6,312.52",353,302,W Fourth St,Cincinnati,OH,"353 W Fourth St 302 Cincinnati, OH","353 W 4th St UNIT 302, Cincinnati, OH 45202, USA",-84.5186701,39.098711,2009,2,265000
204,145-0001-0389-00,353 409 W Fourth St,1066,550,2007,08-20-2009,"$215,000",5,2,2,0,308692.0,EE - Executors Deed (EX),1,0.0,"$6,555.24",69.301606,CINCINNATI CSD,01721 - PARKER FLATS CONDO,No,No,No,No,No,Yes,36000,0,249000,285000,275930,0,0,"$6,555.24",353,409,W Fourth St,Cincinnati,OH,"353 W Fourth St 409 Cincinnati, OH","353 W 4th St UNIT 409, Cincinnati, OH 45202, USA",-84.5186701,39.098711,2009,8,215000
205,145-0001-0390-00,353 410 W Fourth St,1122,550,2007,04-15-2009,"$266,654",5,2,2,0,92054.0,WD - Warranty Deed (Conv),1,0.0,"$5,463.88",69.301606,CINCINNATI CSD,01721 - PARKER FLATS CONDO,YES(21),No,No,Yes,No,Yes,36000,0,208400,244400,234820,0,0,"$5,463.88",353,410,W Fourth St,Cincinnati,OH,"353 W Fourth St 410 Cincinnati, OH","353 W 4th St UNIT 410, Cincinnati, OH 45202, USA",-84.5186701,39.098711,2009,4,266654
206,145-0001-0396-00,353 W Fourth St,1022,550,2007,05-08-2009,"$228,743",5,2,2,0,89946.0,WD - Warranty Deed (Conv),1,0.0,"$5,953.92",69.301606,CINCINNATI CSD,01721 - PARKER FLATS CONDO,No,No,No,Yes,No,Yes,36000,0,232240,268240,259530,0,0,"$5,953.92",353,,W Fourth St,Cincinnati,OH,"353 W Fourth St Cincinnati, OH","353 W 4th St, Cincinnati, OH 45202, USA",-84.51873719999999,39.0986222,2009,5,228743
207,145-0001-0397-00,353 506 W Fourth St,1140,550,2007,04-21-2009,"$235,919",5,2,2,0,272924.0,WD - Warranty Deed (Conv),1,0.0,"$7,199.86",69.301606,CINCINNATI CSD,01721 - PARKER FLATS CONDO,No,No,No,Yes,No,Yes,48000,0,277000,325000,315300,0,0,"$7,199.86",353,506,W Fourth St,Cincinnati,OH,"353 W Fourth St 506 Cincinnati, OH","353 W 4th St UNIT 506, Cincinnati, OH 45202, USA",-84.5186701,39.098711,2009,4,235919
208,145-0001-0404-00,353 602 W Fourth St,1230,550,2007,04-24-2009,"$303,397",5,2,2,0,298189.0,WD - Warranty Deed (Conv),1,0.0,"$7,052.49",69.301606,CINCINNATI CSD,01721 - PARKER FLATS CONDO,No,No,No,Yes,No,Yes,48000,0,269500,317500,306950,0,0,"$7,052.49",353,602,W Fourth St,Cincinnati,OH,"353 W Fourth St 602 Cincinnati, OH","353 W 4th St UNIT 602, Cincinnati, OH 45202, USA",-84.5186701,39.098711,2009,4,303397
209,145-0001-0410-00,353 608 W Fourth St,1077,550,2007,06-05-2009,"$225,100",5,2,2,0,149099.0,WD - Warranty Deed (Conv),1,0.0,"$6,526.58",69.301606,CINCINNATI CSD,01721 - PARKER FLATS CONDO,YES(23),No,No,Yes,No,Yes,48000,0,244230,292230,283030,0,0,"$6,526.58",353,608,W Fourth St,Cincinnati,OH,"353 W Fourth St 608 Cincinnati, OH","353 W 4th St UNIT 608, Cincinnati, OH 45202, USA",-84.5186701,39.098711,2009,6,225100
210,145-0001-0410-00,353 608 W Fourth St,1077,550,2007,06-05-2009,"$285,000",5,2,2,0,149099.0,WD - Warranty Deed (Conv),1,0.0,"$6,526.58",69.301606,CINCINNATI CSD,01721 - PARKER FLATS CONDO,YES(23),No,No,Yes,No,Yes,48000,0,244230,292230,283030,0,0,"$6,526.58",353,608,W Fourth St,Cincinnati,OH,"353 W Fourth St 608 Cincinnati, OH","353 W 4th St UNIT 608, Cincinnati, OH 45202, USA",-84.5186701,39.098711,2009,6,285000
211,145-0001-0411-00,353 609 W Fourth St,1066,550,2007,05-07-2009,"$263,776",5,2,2,0,144639.0,SV - Survivorship Deed (Conv),1,0.0,"$6,396.74",69.301606,CINCINNATI CSD,01721 - PARKER FLATS CONDO,No,No,No,No,No,Yes,36000,0,240330,276330,267400,0,0,"$6,396.74",353,609,W Fourth St,Cincinnati,OH,"353 W Fourth St 609 Cincinnati, OH","353 W 4th St UNIT 609, Cincinnati, OH 45202, USA",-84.5186701,39.098711,2009,5,263776
212,166-0004-0024-00,6815 Sayler Ave,1104,510,1957,08-13-2009,"$111,000",4,2,1,0,26543.0,WD - Warranty Deed (Conv),1,0.165,"$2,559.81",69.301606,CINCINNATI CSD,03500 - SAYLER PARK,No,No,No,Yes,No,Yes,22540,0,96500,119040,0,0,0,"$2,559.81",6815,,Sayler Ave,Cincinnati,OH,"6815 Sayler Ave Cincinnati, OH","6815 Sayler Ave, Cincinnati, OH 45233, USA",-84.6921459,39.1185407,2009,8,111000
213,180-0084-0050-00,977 Seibel Ln,1224,510,1949,08-21-2009,"$110,800",7,4,1,0,26991.0,WD - Warranty Deed (Conv),1,0.144,"$2,452.07",69.301606,CINCINNATI CSD,03700 - WEST PRICE HILL,No,No,No,Yes,No,Yes,15190,0,99050,114240,0,0,0,"$2,452.07",977,,Seibel Ln,Cincinnati,OH,"977 Seibel Ln Cincinnati, OH","977 Seibel Ln, Cincinnati, OH 45238, USA",-84.60783789999999,39.1130776,2009,8,110800
214,180-0084-0136-00,949 Edgetree Ln,1295,510,1950,03-26-2009,"$115,900",8,4,2,0,186657.0,WD - Warranty Deed (Conv),1,0.165,"$2,795.65",69.301606,CINCINNATI CSD,03700 - WEST PRICE HILL,No,No,No,Yes,No,Yes,16120,0,114270,130390,0,0,0,"$2,795.65",949,,Edgetree Ln,Cincinnati,OH,"949 Edgetree Ln Cincinnati, OH","949 Edgetree Ln, Cincinnati, OH 45238, USA",-84.61021149999999,39.1122591,2009,3,115900
215,180-0A80-0322-00,1137 Nancy Lee Ln,1172,510,1950,05-27-2009,"$100,000",5,2,1,0,80139.0,WD - Warranty Deed (Conv),1,0.309,"$2,417.47",69.301606,CINCINNATI CSD,03700 - WEST PRICE HILL,No,No,No,Yes,No,Yes,15400,0,97210,112610,0,0,0,"$2,417.47",1137,,Nancy Lee Ln,Cincinnati,OH,"1137 Nancy Lee Ln Cincinnati, OH","1137 Nancy Lee Ln, Cincinnati, OH 45238, USA",-84.6044859,39.1153445,2009,5,100000
216,197-0036-0005-00,1614 N Argyle Pl,1231,510,1924,06-10-2009,"$127,000",6,2,1,0,358836.0,WE - Warranty Deed (EX),1,0.123,"$4,113.13",69.301606,CINCINNATI CSD,03901 - NORTHSIDE 01,YES(17),No,No,Yes,No,Yes,48140,0,144160,192300,0,0,0,"$4,113.13",1614,,N Argyle Pl,Cincinnati,OH,"1614 N Argyle Pl Cincinnati, OH","1614 N Argyle Pl, Cincinnati, OH 45223, USA",-84.54367309999999,39.1690933,2009,6,127000
