,parcel_number,address,finsqft,use,year_built,transfer_date,amount,total_rooms,bedrooms,full_baths,half_baths,conveyance_number,deed_type,num_parcels_sold,acreage,annual_tax,effective_tax_rate,school_district,appraisal_area,board_of_revision,rental_registration,homestead,owner_occupancy_credit,foreclosure,special_assessments,market_land_value,cauv_value,market_improvement_value,market_total_value,tif_value,abated_value,exempt_value,taxes_paid
192,063-0004-0217-00,1015 WINDSOR ST,1230,555,1989,06-02-2011,"$145,000",5,2,2,1,293478,WD - Warranty Deed (Conv),1,0.028,"$5,968.14",69.301606,CINCINNATI CSD,01526 - WINDSOR COURT LANDO,YES(96),No,No,Yes,No,No,30600,0,249300,279900,0,0,0,"$5,968.14"
193,069-0001-0350-00,935 AUBURNVIEW DR,1240,550,1988,07-05-2011,"$150,000",5,2,2,0,359264,WD - Warranty Deed (Conv),1,0.000,"$4,472.64",69.301606,CINCINNATI CSD,01532 - DEERFIELD CONDO,No,No,No,Yes,No,Yes,22600,0,187010,209610,0,0,0,"$4,472.64"
201,069-0001-0354-00,943 AUBURNVIEW DR,1240,550,1988,05-13-2011,"$138,500",5,2,2,0,94627,WD - Warranty Deed (Conv),1,0.000,"$4,085.82",69.301606,CINCINNATI CSD,01532 - DEERFIELD CONDO,No,No,No,Yes,No,Yes,22600,0,168870,191470,0,0,0,"$4,085.82"
218,069-0003-0160-00,2109 LURAY AVE,1210,550,1939,06-14-2011,"$105,000",5,2,1,0,272986,WD - Warranty Deed (Conv),1,0.000,"$3,627.10",69.301606,CINCINNATI CSD,01514 - OHIO RIVER OVERLOOK CONDO,No,No,No,Yes,No,Yes,23000,0,147000,170000,0,0,0,"$3,627.10"
219,069-0003-0344-00,2151 B FULTON AVE,842,550,1873,06-06-2011,"$108,500",4,2,2,0,325414,WD - Warranty Deed (Conv),1,0.000,"$3,659.56",69.301606,CINCINNATI CSD,01529 - STEAMBOAT LANDING III CONDO,No,No,No,Yes,No,Yes,21600,0,149900,171500,0,0,0,"$3,659.56"
220,072-0001-0351-00,979 B PARADROME ST,840,550,1896,08-11-2011,"$159,000",4,2,1,0,114501,WD - Warranty Deed (Conv),1,0.000,"$3,974.12",69.301606,CINCINNATI CSD,01619 - PARADROME CONDO,No,No,No,Yes,No,Yes,52500,0,133650,186150,0,0,0,"$3,974.12"
221,072-0001-0354-00,985 PARADROME ST,840,550,1896,06-30-2011,"$160,500",4,2,1,0,22842,WD - Warranty Deed (Conv),1,0.000,"$4,173.30",69.301606,CINCINNATI CSD,01619 - PARADROME CONDO,No,No,No,Yes,No,Yes,52500,0,142990,195490,0,0,0,"$4,173.30"
222,076-0001-0390-00,104 2C W NINTH ST,1186,550,1870,05-31-2011,"$181,500",4,2,1,1,283745,QE - Quit Claim Deed (EX),1,0.000,"$5,235.60",69.301606,CINCINNATI CSD,01714 - THE BRITTANY CONDO,No,No,No,Yes,No,Yes,26500,0,206830,233330,193970,0,0,"$5,235.60"
226,076-0001-0390-00,104 2C W NINTH ST,1186,550,1870,07-28-2011,"$150,000",4,2,1,1,283745,QE - Quit Claim Deed (EX),1,0.000,"$5,235.60",69.301606,CINCINNATI CSD,01714 - THE BRITTANY CONDO,No,No,No,Yes,No,Yes,26500,0,206830,233330,193970,0,0,"$5,235.60"
230,076-0001-0399-00,104 5C W NINTH ST,1186,550,1870,08-01-2011,"$158,250",4,2,1,1,63007,WD - Warranty Deed (Conv),1,0.000,"$5,218.54",69.301606,CINCINNATI CSD,01714 - THE BRITTANY CONDO,No,No,No,Yes,No,Yes,26500,0,206830,233330,195230,0,0,"$5,218.54"
231,076-0002-0323-00,30 703 E CENTRAL PW,1266,550,1936,08-17-2011,"$254,000",5,2,2,0,76278,WD - Warranty Deed (Conv),1,0.000,"$8,536.18",69.301606,CINCINNATI CSD,01813 - AMERICAN BUILDING CONDO,YES(21),No,No,Yes,No,Yes,63000,0,323160,386160,360590,0,0,"$8,536.18"
232,076-0002-0335-00,1150 22 VINE ST,1010,550,2005,08-24-2011,"$165,000",5,2,2,0,25066,WD - Warranty Deed (Conv),1,0.000,"$5,704.72",69.301606,CINCINNATI CSD,01818 - GATEWAY CONDO,No,No,No,Yes,No,Yes,42000,0,213440,255440,235440,0,0,"$5,704.72"
233,076-0002-0346-00,1150 34 VINE ST,1254,550,2005,08-01-2011,"$180,000",6,2,2,0,343085,WD - Warranty Deed (Conv),1,0.000,"$7,235.57",69.301606,CINCINNATI CSD,01818 - GATEWAY CONDO,No,No,No,No,No,Yes,42000,0,273680,315680,291830,0,0,"$7,235.57"
250,076-0002-0349-00,1150 VINE ST,1254,550,2005,06-14-2011,"$180,000",6,2,2,0,271881,WD - Warranty Deed (Conv),1,0.000,"$7,356.07",69.301606,CINCINNATI CSD,01818 - GATEWAY CONDO,No,No,No,Yes,No,Yes,42000,0,293500,335500,311650,0,0,"$6,988.03"
251,081-0004-0324-00,20 402 W TWELFTH ST,880,550,1930,04-11-2011,"$140,000",4,2,1,0,49239,WD - Warranty Deed (Conv),1,0.000,"$5,576.52",69.301606,CINCINNATI CSD,01822 - BREMEN LOFTS CONDO,No,No,No,No,No,Yes,30000,0,213430,243430,227580,0,0,"$5,576.52"
252,083-0001-0391-00,417 201 VINE ST,1114,550,1875,08-03-2011,"$226,885",4,2,2,0,211672,WD - Warranty Deed (Conv),1,0.000,"$5,641.18",69.301606,CINCINNATI CSD,01720 - THE LOFTS AT FOUNTAIN SQ CONDO,No,No,No,Yes,No,Yes,40000,0,212780,252780,216580,0,0,"$5,641.18"
253,086-0002-0266-00,407 MILTON ST,1020,510,1865,06-16-2011,"$127,500",5,2,2,0,162990,WD - Warranty Deed (Conv),1,0.027,"$6,158.09",69.301606,CINCINNATI CSD,02001 - MT AUBURN 01,No,No,No,Yes,No,Yes,119680,0,168920,288600,185800,0,0,"$6,158.09"
254,086-0002-0333-00,325 MILTON ST,1008,510,1880,05-04-2011,"$152,000",5,2,2,1,354866,WD - Warranty Deed (Conv),1,0.020,"$5,195.42",69.301606,CINCINNATI CSD,02001 - MT AUBURN 01,No,No,No,Yes,No,Yes,93720,0,149740,243460,0,0,0,"$5,195.42"
255,086-0002-0370-00,336 2 MILTON ST,1052,550,1895,08-22-2011,"$103,000",4,2,1,0,124309,WD - Warranty Deed (Conv),1,0.000,"$4,511.15",69.301606,CINCINNATI CSD,02020 - VOEGLER CONDO,YES(12),Yes,No,No,No,Yes,23400,0,180050,203450,0,0,0,"$4,511.15"
256,092-0003-0308-00,207 11A E UNIVERSITY AVE,905,550,2003,07-08-2011,"$150,000",5,2,1,0,159483,WD - Warranty Deed (Conv),1,0.000,"$4,235.65",69.301606,CINCINNATI CSD,02108 - COURTYARD @ E UNIVERSITY,No,Yes,No,No,No,Yes,25000,0,165830,190830,0,0,0,"$4,235.65"
257,092-0003-0311-00,2822 3B EDEN AVE,905,550,2002,08-10-2011,"$135,522",5,2,1,0,196600,WD - Warranty Deed (Conv),1,0.000,"$4,220.45",69.301606,CINCINNATI CSD,02108 - COURTYARD @ E UNIVERSITY,No,Yes,No,No,No,Yes,25000,0,165150,190150,0,0,0,"$4,220.45"
258,092-0003-0314-00,2820 6B EDEN AVE,905,550,2002,06-08-2011,"$138,000",5,2,1,0,333342,QE - Quit Claim Deed (EX),1,0.000,"$4,074.61",69.301606,CINCINNATI CSD,02108 - COURTYARD @ E UNIVERSITY,No,Yes,No,Yes,No,Yes,25000,0,165700,190700,0,0,0,"$4,074.61"
259,092-0004-0248-00,252 206 STETSON ST,1016,550,2006,07-08-2011,"$240,000",5,2,2,0,223888,WD - Warranty Deed (Conv),1,0.000,"$4,985.38",69.301606,CINCINNATI CSD,02110 - STETSON SQ CONDO,No,Yes,No,Yes,No,Yes,42700,0,191030,233730,227150,0,0,"$4,985.38"
270,092-0004-0249-00,252 301 STETSON ST,981,550,2006,08-03-2011,"$236,000",5,2,2,0,204939,WD - Warranty Deed (Conv),1,0.000,"$4,827.62",69.301606,CINCINNATI CSD,02110 - STETSON SQ CONDO,No,No,No,Yes,No,Yes,42700,0,183630,226330,219750,0,0,"$4,827.62"
271,092-0004-0253-00,252 305 STETSON ST,1030,550,2006,06-17-2011,"$245,000",5,2,2,0,22330,WD - Warranty Deed (Conv),1,0.000,"$5,071.92",69.301606,CINCINNATI CSD,02110 - STETSON SQ CONDO,No,No,No,Yes,No,Yes,42700,0,195090,237790,230810,0,0,"$5,071.92"
272,092-0004-0254-00,252 306 STETSON ST,1028,550,2006,06-13-2011,"$237,000",5,2,2,0,22070,WD - Warranty Deed (Conv),1,0.000,"$5,065.84",69.301606,CINCINNATI CSD,02110 - STETSON SQ CONDO,No,No,No,Yes,No,Yes,42700,0,194790,237490,230510,0,0,"$5,065.84"
273,095-0005-0192-00,2138 OHIO AVE,1280,550,1980,02-25-2011,"$102,000",5,2,1,1,363439,WD - Warranty Deed (Conv),1,0.000,"$4,242.74",69.301606,CINCINNATI CSD,02204 - ELYSIAN CLIFF CONDO,No,No,No,Yes,No,Yes,19490,0,179010,198500,0,0,0,"$4,242.74"
274,096-0002-0208-00,2240 RAVINE ST,901,510,1924,06-07-2011,"$112,000",5,2,1,1,362256,WD - Warranty Deed (Conv),1,0.114,"$3,466.26",69.301606,CINCINNATI CSD,02200 - CUF,No,No,No,No,No,Yes,59670,0,95660,155330,75830,0,0,"$3,466.26"
275,099-0003-0080-00,3042 TAYLOR AVE,1110,510,1916,04-22-2011,"$188,000",6,3,2,0,307975,WD - Warranty Deed (Conv),1,0.194,"$6,422.97",69.301606,CINCINNATI CSD,02201 - CUF 01,No,No,No,Yes,No,Yes,56920,0,243080,300000,0,0,0,"$6,422.97"
276,103-0002-0116-00,3249 2 JEFFERSON AVE,1008,550,1870,02-16-2011,"$112,500",5,2,1,0,103770,WD - Warranty Deed (Conv),1,0.000,"$3,636.22",69.301606,CINCINNATI CSD,02105 - JEFFERSON HOUSE CONDO,No,No,No,Yes,No,Yes,20000,0,150330,170330,0,0,0,"$3,636.22"
277,117-0003-0318-00,1874 SUNWALK DR,1151,550,2008,02-15-2011,"$119,900",5,2,2,0,305369,WE - Warranty Deed (EX),1,0.000,"$2,925.65",69.301606,CINCINNATI CSD,02603 - VILLAGES OF DAYBREAK CONDO,No,No,No,Yes,No,Yes,22000,0,113840,135840,0,0,0,"$2,925.65"
278,121-0001-0361-00,5700 GLENGATE LN,1058,510,1939,06-01-2011,"$127,000",5,2,1,0,53365,WD - Warranty Deed (Conv),1,0.115,"$3,650.76",69.301606,CINCINNATI CSD,02700 - PLEASANT RIDGE,No,No,No,Yes,No,Yes,51840,0,118690,170530,0,0,0,"$3,650.76"
279,121-0005-0012-00,2935 LAWNDALE AVE,1123,510,1948,04-26-2011,"$100,000",5,2,1,0,19869,WD - Warranty Deed (Conv),1,0.098,"$3,677.59",69.301606,CINCINNATI CSD,02700 - PLEASANT RIDGE,YES(11),No,No,Yes,No,Yes,48940,0,122960,171900,0,0,0,"$3,677.59"
290,123-0002-0024-00,3017 MAPLELEAF AVE,1178,510,1927,08-29-2011,"$134,000",6,3,1,0,270716,WD - Warranty Deed (Conv),1,0.149,"$5,014.09",69.301606,CINCINNATI CSD,02700 - PLEASANT RIDGE,No,No,No,Yes,No,Yes,62000,0,172500,234500,0,0,0,"$5,014.09"
291,123-0002-0104-00,3116 AUTEN AVE,1118,510,1924,02-01-2011,"$104,500",6,3,1,0,317549,WD - Warranty Deed (Conv),1,0.162,"$6,420.37",69.301606,CINCINNATI CSD,02700 - PLEASANT RIDGE,No,No,No,Yes,No,Yes,63090,0,236910,300000,0,0,0,"$6,420.37"
292,123-0002-0120-00,3143 AUTEN AVE,1118,510,1925,06-01-2011,"$127,500",6,3,1,0,327063,WD - Warranty Deed (Conv),1,0.161,"$7,183.01",69.301606,CINCINNATI CSD,02700 - PLEASANT RIDGE,No,No,No,Yes,No,Yes,63090,0,272910,336000,0,0,0,"$7,183.01"
293,124-0001-0027-00,3212 HARVEST AVE,1270,510,1880,08-29-2011,"$115,500",7,3,2,0,175804,WD - Warranty Deed (Conv),1,0.189,"$4,532.23",69.301606,CINCINNATI CSD,02700 - PLEASANT RIDGE,YES(13),No,No,Yes,No,Yes,69420,0,141440,210860,67810,0,0,"$4,532.23"
294,125-0001-0066-00,3229 ORION AVE,1000,510,1922,07-01-2011,"$117,500",5,2,1,0,354520,WD - Warranty Deed (Conv),1,0.112,"$4,364.71",69.301606,CINCINNATI CSD,02700 - PLEASANT RIDGE,No,No,No,Yes,No,Yes,44540,0,159630,204170,59170,0,0,"$4,364.71"
295,125-0003-0037-00,3364 ORION AVE,1202,510,1920,02-28-2011,"$115,000",5,2,1,0,253856,WD - Warranty Deed (Conv),1,0.181,"$4,332.11",69.301606,CINCINNATI CSD,02700 - PLEASANT RIDGE,No,No,No,Yes,No,Yes,66230,0,136170,202400,72500,0,0,"$4,332.11"
296,125-0005-0034-00,6221 ROBISON RD,1260,510,1953,06-08-2011,"$178,900",6,3,2,0,319567,WD - Warranty Deed (Conv),1,0.227,"$5,991.50",69.301606,CINCINNATI CSD,02902 - KENNEDY HEIGHTS 02,No,No,No,Yes,No,Yes,66930,0,213070,280000,110860,0,0,"$5,991.50"
297,126-0002-0026-00,3307 S WOODMONT AVE,1068,510,1927,06-03-2011,"$130,000",5,2,1,0,21601,WD - Warranty Deed (Conv),1,0.182,"$3,647.69",69.301606,CINCINNATI CSD,02700 - PLEASANT RIDGE,No,No,No,Yes,No,Yes,64930,0,105180,170110,0,0,0,"$3,647.69"
298,127-0006-0032-00,5907 KIMBERLY AVE,1068,510,1941,03-07-2011,"$118,000",6,3,1,0,,QE - Quit Claim Deed (EX),1,0.209,"$3,999.84",69.301606,CINCINNATI CSD,02700 - PLEASANT RIDGE,No,No,No,Yes,No,Yes,63390,0,123510,186900,0,0,0,"$3,999.84"
299,145-0001-0363-00,353 205 W FOURTH ST,1033,550,2007,03-01-2011,"$177,500",5,2,2,0,17455,WD - Warranty Deed (Conv),1,0.000,"$5,220.67",69.301606,CINCINNATI CSD,01721 - PARKER FLATS CONDO,No,No,No,Yes,No,Yes,36000,0,198700,234700,225970,0,0,"$5,220.67"
310,145-0001-0374-00,353 305 W FOURTH ST,1033,550,2007,05-03-2011,"$185,000",5,2,2,0,340876,WD - Warranty Deed (Conv),1,0.000,"$5,981.45",69.301606,CINCINNATI CSD,01721 - PARKER FLATS CONDO,No,No,No,Yes,No,Yes,36000,0,234170,270170,261470,0,0,"$5,981.45"
311,145-0001-0382-00,353 402 W FOURTH ST,1230,550,2007,08-03-2011,"$193,900",5,2,2,0,279627,WD - Warranty Deed (Conv),1,0.000,"$6,163.76",69.301606,CINCINNATI CSD,01721 - PARKER FLATS CONDO,No,No,No,Yes,No,Yes,36000,0,241500,277500,267050,0,0,"$6,163.76"
312,145-0001-0384-00,353 404 W FOURTH ST,1247,550,2007,07-08-2011,"$197,000",5,2,2,0,61465,WD - Warranty Deed (Conv),1,0.000,"$7,628.89",69.301606,CINCINNATI CSD,01721 - PARKER FLATS CONDO,No,No,No,Yes,No,Yes,48000,0,298080,346080,335560,0,0,"$7,628.89"
313,145-0001-0393-00,353 502 W FOURTH ST,1230,550,2007,07-27-2011,"$198,500",5,2,2,0,178264,WD - Warranty Deed (Conv),1,0.000,"$5,661.67",69.301606,CINCINNATI CSD,01721 - PARKER FLATS CONDO,No,No,No,Yes,No,Yes,36000,0,217260,253260,242670,0,0,"$5,661.67"
314,145-0001-0428-00,304 5 MCFARLAND ST,1070,550,1870,08-04-2011,"$255,000",5,2,2,0,341260,WD - Warranty Deed (Conv),1,0.000,"$6,987.81",69.301606,CINCINNATI CSD,01722 - McFARLAND LOFTS CONDO,No,No,No,Yes,No,Yes,40000,0,275000,315000,284050,0,0,"$6,987.81"
315,151-0001-0160-00,500 405 MT HOPE AVE,1208,550,1980,04-19-2011,"$129,760",4,2,2,0,,WE - Warranty Deed (EX),1,0.000,"$2,204.30",69.301606,CINCINNATI CSD,03208 - KULLA VIKEN CONDO,YES(18),No,Yes,Yes,No,Yes,18000,0,111480,129480,0,0,0,"$2,204.30"
319,151-0001-0160-00,500 405 MT HOPE AVE,1208,550,1980,06-10-2011,"$128,760",4,2,2,0,,WE - Warranty Deed (EX),1,0.000,"$2,204.30",69.301606,CINCINNATI CSD,03208 - KULLA VIKEN CONDO,YES(18),No,Yes,Yes,No,Yes,18000,0,111480,129480,0,0,0,"$2,204.30"
323,167-0007-0068-00,7045 FERNBANK AVE,1252,510,1957,06-23-2011,"$138,000",6,2,1,1,22497,FD - Fiduciary Deed (Conv),1,0.329,"$3,523.95",69.301606,CINCINNATI CSD,03500 - SAYLER PARK,No,No,No,Yes,No,Yes,28590,0,134520,163110,0,0,0,"$3,523.95"
324,176-0021-0109-00,549 WOODLAWN AVE,1160,510,1919,03-22-2011,"$272,000",5,2,1,0,18301,LW - Limited Warrant Deed (Conv),7,0.083,"$1,391.70",69.301606,CINCINNATI CSD,03200 - EAST PRICE HILL,YES(15),Yes,No,No,No,Yes,5280,0,57170,62450,0,0,0,"$1,391.70"
325,179-0074-0025-00,1238 ROSEMONT AVE,1152,510,1910,03-22-2011,"$250,000",6,3,2,0,18300,LW - Limited Warrant Deed (Conv),10,0.057,"$1,970.21",69.301606,CINCINNATI CSD,03700 - WEST PRICE HILL,YES(24),Yes,No,No,No,Yes,6820,0,81750,88570,0,0,0,"$1,970.21"
342,180-0082-0005-00,819 OVERLOOK AVE,1227,510,1932,04-18-2011,"$100,600",5,2,1,0,19434,WD - Warranty Deed (Conv),1,0.082,"$2,294.13",69.301606,CINCINNATI CSD,03700 - WEST PRICE HILL,No,No,No,Yes,No,Yes,10250,0,96760,107010,0,0,0,"$2,294.13"
343,180-0083-0208-00,1137 ALCLIFF LN,1294,510,1953,08-11-2011,"$105,000",7,3,1,0,189956,SV - Survivorship Deed (Conv),1,0.163,"$2,978.39",69.301606,CINCINNATI CSD,03700 - WEST PRICE HILL,No,No,No,Yes,No,Yes,15330,0,123410,138740,0,0,0,"$2,978.39"
344,180-0A80-0020-00,1033 CORONADO AVE,1080,510,1926,04-22-2011,"$105,000",5,2,1,1,19724,SV - Survivorship Deed (Conv),1,0.223,"$2,179.20",69.301606,CINCINNATI CSD,03700 - WEST PRICE HILL,No,No,No,Yes,No,Yes,17670,0,83670,101340,0,0,0,"$2,179.20"
345,183-0002-0161-00,5040 RALPH AVE,1239,510,1931,06-17-2011,"$115,573",6,3,1,0,364876,SV - Survivorship Deed (Conv),1,0.196,"$2,706.10",69.301606,CINCINNATI CSD,03709 - WEST PRICE HILL 09,No,No,No,Yes,No,Yes,24750,0,101440,126190,0,0,0,"$2,706.10"
346,195-0028-0200-00,4133 WITLER ST,976,510,1875,07-25-2011,"$290,518",5,2,1,0,230509,WD - Warranty Deed (Conv),1,0.057,"$1,329.50",69.301606,CINCINNATI CSD,03901 - NORTHSIDE 01,YES(12),No,No,No,No,Yes,29800,0,119080,148880,0,89230,0,"$1,329.50"
347,196-0024-0055-00,4324 BEECH HILL AVE,1296,510,1902,02-28-2011,"$131,500",5,2,1,1,360981,WD - Warranty Deed (Conv),1,0.068,"$4,868.81",69.301606,CINCINNATI CSD,03900 - NORTHSIDE,YES(11),No,No,Yes,No,Yes,58340,0,168950,227290,0,0,0,"$4,868.81"
348,200-0048-0047-00,4705 HASSMAN CT,1240,510,2011,06-23-2011,"$194,240",5,3,2,1,161508,WD - Warranty Deed (Conv),1,0.173,$894.02,69.301606,CINCINNATI CSD,03905 - NORTHSIDE 05,No,No,No,Yes,No,Yes,41000,0,180960,221960,0,180960,0,$894.02
349,204-0017-0129-00,1816 MINION AVE,1102,510,2002,03-21-2011,"$168,750",5,3,2,0,18263,LW - Limited Warrant Deed (Conv),5,0.134,"$3,082.49",69.301606,CINCINNATI CSD,03700 - WEST PRICE HILL,YES(18),Yes,No,No,No,Yes,14730,0,123690,138420,0,0,0,"$3,082.49"
350,208-0059-0076-00,2940 FERGUSON RD,1134,510,1970,03-21-2011,"$168,750",5,3,2,0,18263,LW - Limited Warrant Deed (Conv),5,0.258,"$2,887.95",69.301606,CINCINNATI CSD,04401 - WESTWOOD 01,YES(18),Yes,No,No,No,Yes,21250,0,108030,129280,0,0,0,"$2,887.95"
351,212-0065-0073-00,3254 RENFRO AVE,1179,510,1949,08-01-2011,"$105,000",5,2,1,0,138722,WD - Warranty Deed (Conv),1,0.190,"$2,942.52",69.301606,CINCINNATI CSD,04400 - WESTWOOD,No,No,Yes,Yes,No,Yes,22180,0,141500,163680,0,0,0,"$2,942.52"
362,221-0019-0314-00,1433 1 CHASE AVE,830,550,1900,06-14-2011,"$111,372",4,2,1,0,22122,SV - Survivorship Deed (Conv),1,0.000,"$2,030.58",69.301606,CINCINNATI CSD,03906 - PARKSIDE CONDO,No,No,Yes,Yes,No,Yes,25500,0,95620,121120,0,0,0,"$2,030.58"
363,228-0001-0152-00,5595 KIPLINGTON DR,1296,555,1990,08-17-2011,"$165,000",6,2,2,0,358009,TE - Trustees Deed (EX),1,0.076,"$2,839.92",69.301606,CINCINNATI CSD,04202 - KIPLINGTON LANDO,YES(15),No,Yes,Yes,No,No,32000,0,127770,159770,0,0,0,"$2,839.92"
364,228-0004-0236-00,5416 SCARLETOAK DR,1070,550,2004,04-27-2011,"$125,000",6,2,2,1,176431,SE - Survivorship Deed (EX),1,0.000,"$3,680.25",69.301606,CINCINNATI CSD,04208 - MT AIRY OAKS CONDO,No,No,No,Yes,No,Yes,28000,0,144180,172180,0,0,0,"$3,680.25"
365,231-0003-0092-00,5438 VOGEL RD,1292,510,1947,03-14-2011,"$105,000",7,4,1,1,347056,WD - Warranty Deed (Conv),1,0.162,"$3,052.39",69.301606,CINCINNATI CSD,04200 - MT AIRY,YES(94),No,No,No,No,Yes,24540,0,112460,137000,67440,0,0,$0.00
366,235-0003-0045-00,1185 HOMESIDE AVE,1020,510,2010,02-04-2011,"$100,000",6,3,1,0,214994,WD - Warranty Deed (Conv),1,0.173,"$3,155.27",69.301606,CINCINNATI CSD,05100 - COLLEGE HILL,No,Yes,No,No,No,Yes,29680,0,112030,141710,0,0,0,"$3,155.27"
367,500-0042-0130-00,1666 TURQUOISE DR,1188,510,1965,08-11-2011,"$128,000",5,3,1,1,166364,AF - Affidavit (EX),1,0.169,"$4,513.67",63.814706,FOREST HILLS LSD,50001 - ANDERSON 01,No,No,No,Yes,No,Yes,40630,0,182220,222850,0,0,0,"$4,513.67"
368,500-0044-0064-00,1597 PINEBLUFF LN,1280,510,1967,05-24-2011,"$151,000",6,3,2,1,306806,WD - Warranty Deed (Conv),1,0.181,"$5,929.59",63.814706,FOREST HILLS LSD,50001 - ANDERSON 01,No,No,No,Yes,No,Yes,39940,0,253060,293000,0,0,0,"$5,929.59"
369,500-0044-0186-00,8577 NORTHPORT DR,1080,510,1964,04-19-2011,"$119,900",5,3,1,1,310283,WD - Warranty Deed (Conv),1,0.200,"$5,213.27",63.814706,FOREST HILLS LSD,50001 - ANDERSON 01,No,No,No,Yes,No,Yes,43220,0,214280,257500,0,0,0,"$5,213.27"
370,500-0044-0238-00,8585 LINDERWOOD LN,1080,510,1963,06-21-2011,"$110,000",6,3,2,0,22400,WD - Warranty Deed (Conv),1,0.169,"$4,414.07",63.814706,FOREST HILLS LSD,50001 - ANDERSON 01,No,No,No,No,No,Yes,39720,0,171830,211550,0,0,0,"$4,414.07"
371,500-0072-0091-00,8677 SUSANVIEW LN,1297,510,1957,06-30-2011,"$167,400",6,3,1,0,22806,WD - Warranty Deed (Conv),1,0.479,"$3,750.65",63.814706,FOREST HILLS LSD,500102 - ANDERSON 102,No,No,No,Yes,No,Yes,44400,0,140650,185050,0,0,0,"$3,750.65"
382,500-0122-0103-00,1111 137 WITTSHIRE LN,878,550,1990,08-04-2011,"$140,000",5,2,2,0,24319,WD - Warranty Deed (Conv),1,0.000,"$4,279.66",63.814706,FOREST HILLS LSD,50042 - WITTSHIRE GLEN CONDO,No,No,No,Yes,No,Yes,28600,0,183120,211720,0,0,0,"$4,279.66"
383,500-0124-0050-00,8146 FOREST RD,996,510,1932,05-10-2011,"$110,000",5,3,1,1,154375,WE - Warranty Deed (EX),1,0.256,"$2,974.95",63.814706,FOREST HILLS LSD,50024 - ANDERSON 24,No,No,No,Yes,No,Yes,37570,0,109070,146640,0,0,0,"$2,974.95"
384,500-0132-0019-00,2094 EVANOR LN,1152,510,1956,03-11-2011,"$153,000",5,3,2,0,69117,WD - Warranty Deed (Conv),1,0.459,"$4,952.59",63.814706,FOREST HILLS LSD,50097 - ANDERSON 97,No,No,No,Yes,No,Yes,51280,0,193300,244580,0,0,0,"$4,952.59"
385,500-0132-0045-00,1885 WANNINGER LN,1057,510,1950,08-19-2011,"$120,000",5,2,2,1,248590,WD - Warranty Deed (Conv),1,0.309,"$4,652.31",63.814706,FOREST HILLS LSD,50098 - ANDERSON 98,No,No,No,No,No,Yes,60640,0,162360,223000,0,0,0,"$4,652.31"
386,500-0201-0112-00,1398 COLUMBUS AVE,1161,510,1954,05-19-2011,"$116,750",5,3,1,0,20897,SV - Survivorship Deed (Conv),1,0.264,"$4,057.51",63.814706,FOREST HILLS LSD,50005 - ANDERSON 05,No,No,No,Yes,No,Yes,39470,0,160810,200280,0,0,0,"$4,057.51"
387,500-0202-0162-00,1512 COHASSET DR,1184,550,1986,06-30-2011,"$140,000",6,2,2,1,22818,SV - Survivorship Deed (Conv),1,0.000,"$3,843.58",63.814706,FOREST HILLS LSD,50037 - COMMONS OF ANDERSON CONDO,No,No,Yes,Yes,No,Yes,33000,0,183610,216610,0,0,0,"$3,843.58"
388,500-0202-0174-00,1500 COHASSET DR,1184,550,1986,04-14-2011,"$153,000",6,3,2,1,332161,FD - Fiduciary Deed (Conv),1,0.000,"$4,470.92",63.814706,FOREST HILLS LSD,50037 - COMMONS OF ANDERSON CONDO,No,No,No,No,No,Yes,33000,0,181700,214700,0,0,0,"$4,470.92"
389,500-0211-0291-00,7462 TOWERVIEW LN,1112,510,1951,06-08-2011,"$120,000",4,2,1,0,21845,WD - Warranty Deed (Conv),1,0.461,"$4,468.73",63.814706,FOREST HILLS LSD,50098 - ANDERSON 98,No,No,No,No,No,Yes,57260,0,156920,214180,0,0,0,"$4,468.73"
390,500-0214-0176-00,1621 BRAINTREE DR,1184,550,1984,06-16-2011,"$169,700",6,3,2,1,329590,WD - Warranty Deed (Conv),1,0.000,"$4,371.36",63.814706,FOREST HILLS LSD,50037 - COMMONS OF ANDERSON CONDO,No,No,No,Yes,No,Yes,33000,0,183270,216270,0,0,0,"$4,371.36"
391,500-0214-0180-00,1629 BRAINTREE DR,1225,550,1984,04-07-2011,"$106,000",6,3,2,1,277527,WD - Warranty Deed (Conv),1,0.000,"$3,942.28",63.814706,FOREST HILLS LSD,50037 - COMMONS OF ANDERSON CONDO,No,No,No,Yes,No,Yes,33000,0,162000,195000,0,0,0,"$3,942.28"
402,500-0270-0168-00,1078 ALNETTA DR,1064,510,1956,05-10-2011,"$110,000",5,2,1,0,184567,WD - Warranty Deed (Conv),1,0.172,"$4,450.46",63.814706,FOREST HILLS LSD,50023 - ANDERSON 23,No,Yes,No,No,No,Yes,36720,0,176940,213660,0,0,0,"$4,450.46"
403,500-0270-0262-00,7085 JEANNIE AVE,1107,510,1963,03-14-2011,"$112,000",5,3,1,1,18000,WD - Warranty Deed (Conv),1,0.147,"$4,238.19",63.814706,FOREST HILLS LSD,50023 - ANDERSON 23,No,Yes,No,No,No,Yes,32670,0,170440,203110,0,0,0,"$4,238.19"
