,parcel_number,address,finsqft,use,year_built,transfer_date,amount,total_rooms,bedrooms,full_baths,half_baths,conveyance_number,deed_type,num_parcels_sold,acreage,annual_tax,effective_tax_rate,school_district,appraisal_area,board_of_revision,rental_registration,homestead,owner_occupancy_credit,foreclosure,special_assessments,market_land_value,cauv_value,market_improvement_value,market_total_value,tif_value,abated_value,exempt_value,taxes_paid,ST_NUM,APT_NUM,ST_NAME,new_address,latitude,longitude,num_amount,year,month,missing_house_number,corrected_address,city
152,612-0050-0010-00,"9746 Highland Ave, Cincinnati, OH 45242, USA",1232,510,1958,06-02-2015,"$173,500",5,2,1,0,86347.0,WD - Warranty Deed (Conv),1,0.2,"$3,904.59",47.604103,SYCAMORE CSD,61203 - BLUE ASH 03,No,No,No,Yes,No,Yes,92400,0,169840,262240,0,0,0,"$1,955.32",9746,,Highland Ave,9746 Highland Ave,39.2358187,-84.3846357,173500,2015,6,9746.0,,Cincinnati
153,612-0070-0111-00,"4436 Victor Ave, Cincinnati, OH 45242, USA",1184,510,1953,06-18-2015,"$148,000",6,4,2,0,87439.0,WD - Warranty Deed (Conv),1,0.138,"$3,279.75",47.604103,SYCAMORE CSD,61203 - BLUE ASH 03,No,No,No,Yes,No,Yes,75600,0,144600,220200,0,0,0,"$1,642.90",4436,,Victor Ave,4436 Victor Ave,39.2291304,-84.3879448,148000,2015,6,4436.0,,Cincinnati
154,612-0070-0304-00,"9471 Hunters Creek Dr, Blue Ash, OH 45242, USA",1351,550,1981,06-18-2015,"$155,000",6,3,2,2,87455.0,FD - Fiduciary Deed (Conv),1,0.0,"$3,509.86",47.604103,SYCAMORE CSD,61220 - TWIN LAKES CONDO,No,No,No,Yes,No,Yes,23400,0,212330,235730,0,0,0,"$1,756.14",9471,,Hunters Creek Dr,9471 Hunters Creek Dr,39.2277137,-84.3903525,155000,2015,6,9471.0,,Blue Ash
155,612-0070-0345-00,"9468 Hunters Creek Dr, Blue Ash, OH 45242, USA",1156,550,1985,06-15-2015,"$129,500",5,2,2,1,87254.0,WD - Warranty Deed (Conv),1,0.0,"$2,765.68",47.604103,SYCAMORE CSD,61220 - TWIN LAKES CONDO,No,No,No,Yes,No,Yes,23400,0,162280,185680,0,0,0,"$1,384.05",9468,,Hunters Creek Dr,9468 Hunters Creek Dr,39.2264074,-84.3897549,129500,2015,6,9468.0,,Blue Ash
156,612-0070-0399-00,"9328 Hunters Creek Dr, Blue Ash, OH 45242, USA",1156,550,1989,04-03-2015,"$132,000",5,2,2,1,217441.0,WD - Warranty Deed (Conv),1,0.0,"$2,765.46",47.604103,SYCAMORE CSD,61220 - TWIN LAKES CONDO,No,No,No,Yes,No,Yes,23400,0,162270,185670,0,0,0,"$1,383.94",9328,,Hunters Creek Dr,9328 Hunters Creek Dr,39.2268203,-84.3878289,132000,2015,4,9328.0,,Blue Ash
157,612-0080-0205-00,"9508 Fallson Ct, Cincinnati, OH 45242, USA",1314,510,1968,06-22-2015,"$217,000",8,4,2,1,338371.0,WD - Warranty Deed (Conv),1,0.196,"$5,176.77",47.604103,SYCAMORE CSD,61221 - BLUE ASH 21,No,No,No,Yes,No,Yes,77190,0,270590,347780,0,0,0,"$2,591.41",9508,,Fallson Ct,9508 Fallson Ct,39.2315524,-84.38540119999999,217000,2015,6,9508.0,,Cincinnati
158,612-0132-0019-00,"5490 Hagewa Dr, Cincinnati, OH 45242, USA",1358,510,1955,06-10-2015,"$199,000",7,3,2,0,300738.0,WD - Warranty Deed (Conv),1,0.49,"$5,581.15",47.604103,SYCAMORE CSD,61226 - BLUE ASH 26,No,No,No,Yes,No,Yes,77660,0,297340,375000,0,0,0,"$2,793.60",5490,,Hagewa Dr,5490 Hagewa Dr,39.2414535,-84.3718452,199000,2015,6,5490.0,,Cincinnati
159,612-0140-0253-00,"5332 Old Pfeiffer Ln, Blue Ash, OH 45242, USA",1135,510,1969,06-17-2015,"$170,000",5,2,1,0,87397.0,FD - Fiduciary Deed (Conv),1,0.522,"$4,190.01",47.604103,SYCAMORE CSD,61209 - BLUE ASH 09,No,No,No,Yes,No,Yes,72000,0,209420,281420,0,0,0,"$2,098.03",5332,,Old Pfeiffer Ln,5332 Old Pfeiffer Ln,39.2504783,-84.37149579999999,170000,2015,6,5332.0,,Blue Ash
160,612-0140-0442-00,"5346 Hickory Trail Ln, Cincinnati, OH 45242, USA",1387,555,1982,06-30-2015,"$182,500",6,3,3,0,88037.0,WD - Warranty Deed (Conv),1,0.053,"$3,781.16",47.604103,SYCAMORE CSD,61227 - HICKORY RIDGE LANDO,YES(11),No,No,Yes,No,Yes,40500,0,213660,254160,0,0,0,"$1,891.79",5346,,Hickory Trail Ln,5346 Hickory Trail Ln,39.2517539,-84.37157959999999,182500,2015,6,5346.0,,Cincinnati
161,612-0170-0289-00,"11109 Jardin Pl, Cincinnati, OH 45241, USA",1347,555,1986,06-03-2015,"$237,000",4,2,2,1,322767.0,WD - Warranty Deed (Conv),1,0.068,"$5,205.86",47.604103,SYCAMORE CSD,61232 - JARDIN DEL FLEURS LANDO,No,No,No,Yes,No,Yes,44000,0,306000,350000,0,0,0,"$2,604.14",11109,,Jardin Pl,11109 Jardin Pl,39.26804980000001,-84.3828029,237000,2015,6,11109.0,,Cincinnati
162,612-0170-0306-00,"11182 Jardin Pl, Cincinnati, OH 45241, USA",1347,555,1986,06-16-2015,"$250,000",4,2,2,1,87329.0,FD - Fiduciary Deed (Conv),1,0.068,"$4,601.84",47.604103,SYCAMORE CSD,61232 - JARDIN DEL FLEURS LANDO,No,No,No,Yes,No,Yes,44000,0,265380,309380,0,0,0,"$2,302.13",11182,,Jardin Pl,11182 Jardin Pl,39.2700629,-84.3819941,250000,2015,6,11182.0,,Cincinnati
163,612-0180-0134-00,"10773 Fallsington Ct, Cincinnati, OH 45242, USA",1368,555,1984,04-27-2015,"$186,000",6,3,2,1,146453.0,EXD - Executors Deed (Conv),2,0.027,"$3,398.58",47.604103,SYCAMORE CSD,61236 - SYCAMORE VILLAGE LANDO,No,No,No,No,No,Yes,30000,0,190890,220890,0,0,0,"$1,700.50",10773,,Fallsington Ct,10773 Fallsington Ct,39.2572546,-84.3597705,186000,2015,4,10773.0,,Cincinnati
164,620-0190-0463-00,"9163 Dominion Cir, Cincinnati, OH 45249, USA",1300,550,1985,05-13-2015,"$124,500",7,3,2,1,124315.0,WD - Warranty Deed (Conv),1,0.0,"$3,464.38",53.799505,SYCAMORE CSD,62013 - SYCAMORE STATION CONDO,No,No,No,Yes,No,Yes,24700,0,180470,205170,0,0,0,"$1,735.21",9163,,Dominion Cr,9163 Dominion Cr,39.2880634,-84.30814989999999,124500,2015,5,9163.0,,Cincinnati
165,620-0190-0801-00,"12006 Maxim Ave, Cincinnati, OH 45249, USA",1313,550,1997,06-25-2015,"$134,000",5,2,2,0,270365.0,QU - Quit Claim Deed (Conv),1,0.0,"$3,810.08",53.799505,SYCAMORE CSD,62036 - VILLAS OF ROYAL POINT CONDO,No,Yes,No,No,No,Yes,40600,0,177890,218490,0,0,0,"$1,908.06",12006,,Maxim Ave,12006 Maxim Ave,39.2900189,-84.3102948,134000,2015,6,12006.0,,Cincinnati
166,620-0210-0541-00,"11576 Symmes Gate Ln, Cincinnati, OH 45249, USA",1485,550,1986,05-21-2015,"$124,500",6,2,2,1,232053.0,WD - Warranty Deed (Conv),1,0.0,"$3,642.36",53.799505,SYCAMORE CSD,62028 - SYMMES GATE CONDO,No,No,No,Yes,No,Yes,30100,0,185690,215790,0,0,0,"$1,824.20",11576,,Symmes Gate Ln,11576 Symmes Gate Ln,39.2778227,-84.3257186,124500,2015,5,11576.0,,Cincinnati
167,525-0001-0009-00,"7508 Miami Ave, Cincinnati, OH 45243, USA",1237,510,1915,06-08-2016,"$205,000",5,2,1,1,351746.0,WD - Warranty Deed (Conv),1,0.198,"$5,577.68",65.284164,MADEIRA CSD,52501 - MADEIRA 01,No,No,No,Yes,No,Yes,127600,0,146780,274380,0,0,0,"$2,792.32",7508,,Miami Ave,7508 Miami Ave,39.197477,-84.361948,205000,2016,6,7508.0,,Cincinnati
168,525-0001-0234-00,"7272 Thomas Dr, Cincinnati, OH 45243, USA",1474,510,1951,06-28-2016,"$272,500",7,3,1,0,113619.0,WD - Warranty Deed (Conv),1,0.192,"$6,249.44",65.284164,MADEIRA CSD,52501 - MADEIRA 01,No,No,No,Yes,No,Yes,123770,0,183820,307590,0,0,0,"$3,128.20",7272,,Thomas Dr,7272 Thomas Dr,39.1962544,-84.3570187,272500,2016,6,7272.0,,Cincinnati
169,525-0001-0301-00,"7238 Berwood Dr, Cincinnati, OH 45243, USA",906,510,1952,06-29-2016,"$185,000",4,2,1,0,266915.0,WD - Warranty Deed (Conv),1,0.213,"$5,181.98",65.284164,MADEIRA CSD,52501 - MADEIRA 01,No,No,No,Yes,No,Yes,130150,0,124850,255000,0,0,0,"$2,594.47",7238,,Berwood Dr,7238 Berwood Dr,39.1935301,-84.3584563,185000,2016,6,7238.0,,Cincinnati
170,525-0001-0332-00,"7265 Berwood Dr, Cincinnati, OH 45243, USA",1495,510,1953,06-17-2016,"$206,000",6,3,2,0,196476.0,WD - Warranty Deed (Conv),1,0.187,"$6,546.88",65.284164,MADEIRA CSD,52501 - MADEIRA 01,No,No,No,Yes,No,Yes,122500,0,199740,322240,0,0,0,"$3,276.92",7265,,Berwood Dr,7265 Berwood Dr,39.195856,-84.358826,206000,2016,6,7265.0,,Cincinnati
171,525-0007-0126-00,"7244 Iuka Ave, Cincinnati, OH 45243, USA",1285,510,1948,06-29-2016,"$144,000",6,3,2,0,227788.0,WD - Warranty Deed (Conv),1,0.162,"$5,769.83",65.284164,MADEIRA CSD,52501 - MADEIRA 01,No,No,No,Yes,No,Yes,116000,0,167660,283660,0,0,0,"$2,889.79",7244,,Iuka Ave,7244 Iuka Ave,39.1936302,-84.3548679,144000,2016,6,7244.0,,Cincinnati
172,525-0010-0167-00,"7908 Locust Ln, Cincinnati, OH 45243, USA",1258,510,1952,06-13-2016,"$207,000",6,3,1,0,328674.0,WE - Warranty Deed (EX),1,0.16,"$5,628.42",65.284164,MADEIRA CSD,52501 - MADEIRA 01,No,No,No,Yes,No,Yes,113680,0,163490,277170,0,0,0,"$2,815.95",7908,,Locust Ln,7908 Locust Ln,39.1996798,-84.3574242,207000,2016,6,7908.0,,Cincinnati
173,525-0012-0088-00,"7825 Greenbriar Ln, Cincinnati, OH 45243, USA",1258,510,1955,05-24-2016,"$220,000",6,3,1,1,312191.0,WD - Warranty Deed (Conv),1,0.138,"$7,135.18",65.284164,MADEIRA CSD,52501 - MADEIRA 01,No,No,No,Yes,No,Yes,104400,0,246400,350800,0,0,0,"$3,571.07",7825,,Greenbriar Ln,7825 Greenbriar Ln,39.2018549,-84.3581277,220000,2016,5,7825.0,,Cincinnati
174,525-0014-0033-00,"6860 Dawson Rd, Cincinnati, OH 45243, USA",1296,510,1929,05-04-2016,"$202,000",6,3,3,0,342376.0,WD - Warranty Deed (Conv),1,0.158,"$5,206.30",65.284164,MADEIRA CSD,52506 - MADEIRA 06,No,No,No,Yes,No,Yes,69480,0,186890,256370,0,0,0,$0.00,6860,,Dawson Rd,6860 Dawson Rd,39.1861479,-84.3749661,202000,2016,5,6860.0,,Cincinnati
175,525-0014-0044-00,"6759 Rosecrest Ave, Cincinnati, OH 45243, USA",1437,510,1953,06-02-2016,"$200,000",6,4,2,0,111170.0,FD - Fiduciary Deed (Conv),1,0.129,"$4,749.98",65.284164,MADEIRA CSD,52506 - MADEIRA 06,No,No,No,Yes,No,Yes,58460,0,175250,233710,0,0,0,"$2,378.47",6759,,Rose Crest Ave,6759 Rose Crest Ave,39.18750800000001,-84.37545879999999,200000,2016,6,6759.0,,Cincinnati
176,592-0001-0186-00,"126 Vermont Ave, Cincinnati, OH 45215, USA",1485,510,1950,04-26-2016,"$162,101",6,3,2,1,301753.0,WD - Warranty Deed (Conv),1,0.262,"$7,667.14",61.983774,WYOMING CSD,59201 - WYOMING 01,YES(06),No,No,Yes,No,No,105490,0,294510,400000,0,0,0,"$3,833.57",126,,Vermont Ave,126 Vermont Ave,39.240378,-84.4769376,162101,2016,4,126.0,,Cincinnati
177,592-0005-0166-00,"1110 Springfield Pike, Wyoming, OH 45215, USA",1482,550,1969,05-25-2016,"$125,000",5,2,2,1,292131.0,WD - Warranty Deed (Conv),1,0.0,"$3,546.60",61.983774,WYOMING CSD,59212 - FLEMING HOUSE CONDO,No,No,No,Yes,No,No,22500,0,162500,185000,0,0,0,"$1,773.30",1110,,Springfield Pk,1110 Springfield Pk,39.2352899,-84.47064619999999,125000,2016,5,1110.0,,Wyoming
178,592-0011-0031-00,"226 Charles St, Cincinnati, OH 45215",1164,510,1928,05-12-2016,"$183,500",7,3,1,0,322326.0,WD - Warranty Deed (Conv),1,0.155,"$5,558.70",61.983774,WYOMING CSD,59207 - WYOMING 07,No,No,No,Yes,No,No,86400,0,203600,290000,0,0,0,"$2,779.35",226,,Charles St,226 Charles St,39.222758,-84.47511229999999,183500,2016,5,,,Cincinnati
179,592-0013-0102-00,"347 Durrell Ave, Cincinnati, OH 45215, USA",1310,510,1939,04-20-2016,"$157,500",7,3,1,0,107052.0,WD - Warranty Deed (Conv),1,0.167,"$3,638.06",61.983774,WYOMING CSD,59218 - WYOMING 18,No,No,No,Yes,No,No,52000,0,137800,189800,0,0,0,"$1,819.03",347,,Durrell Ave,347 Durrell Ave,39.2195885,-84.4663019,157500,2016,4,347.0,,Cincinnati
180,592-0013-0199-00,"326 Grove Ct, Cincinnati, OH 45215, USA",872,510,1945,06-23-2016,"$123,500",5,2,1,0,113149.0,WD - Warranty Deed (Conv),1,0.091,"$3,617.11",61.983774,WYOMING CSD,59218 - WYOMING 18,No,No,No,Yes,No,No,41250,0,121590,162840,0,0,0,"$1,560.82",326,,S Grove Ct,326 S Grove Ct,39.2209848,-84.4672026,123500,2016,6,326.0,,Cincinnati
181,592-0023-0138-00,"24 Rolling Hills Dr, Cincinnati, OH 45215, USA",1432,555,1985,04-13-2016,"$205,000",5,2,3,0,106438.0,WD - Warranty Deed (Conv),1,0.109,"$4,934.38",61.983774,WYOMING CSD,59221 - ROLL HILLS OF WYOMING LANDO,No,No,No,Yes,No,No,32500,0,224900,257400,0,0,0,"$4,934.38",24,,Rolling Hills Dr,24 Rolling Hills Dr,39.2437267,-84.4772009,205000,2016,4,24.0,,Cincinnati
182,600-0023-0184-00,"10921 Barrington Ct, Cincinnati, OH 45242, USA",1460,550,1979,04-27-2016,"$142,000",6,3,2,1,107782.0,WD - Warranty Deed (Conv),1,0.0,"$3,693.12",49.620025,SYCAMORE CSD,60009 - MONTGOMERY TOWNE CONDO,No,No,No,Yes,No,Yes,19300,0,218890,238190,0,0,0,"$1,849.58",10921,,Barrington Ct,10921 Barrington Ct,39.263209,-84.344788,142000,2016,4,10921.0,,Cincinnati
183,600-0023-0222-00,"8057 Highfield Ct, Cincinnati, OH 45242, USA",1082,550,1980,05-24-2016,"$117,000",6,2,1,1,110362.0,WD - Warranty Deed (Conv),1,0.0,"$3,095.42",49.620025,SYCAMORE CSD,60009 - MONTGOMERY TOWNE CONDO,No,No,No,Yes,No,Yes,19300,0,180270,199570,0,0,0,"$3,095.42",8057,,Highfield Ct,8057 Highfield Ct,39.2637226,-84.34532639999999,117000,2016,5,8057.0,,Cincinnati
184,600-0030-0239-00,"10811 Lakehurst Ct, Cincinnati, OH 45242, USA",1082,550,1977,06-03-2016,"$130,000",4,2,1,1,171665.0,QE - Quit Claim Deed (EX),1,0.0,"$3,111.64",49.620025,SYCAMORE CSD,60009 - MONTGOMERY TOWNE CONDO,No,No,No,Yes,No,Yes,19300,0,181310,200610,0,0,0,"$1,558.84",10811,,Lakehurst Ct,10811 Lakehurst Ct,39.261672,-84.3445699,130000,2016,6,10811.0,,Cincinnati
185,600-0030-0338-00,"10885 Lake Thames Dr, Cincinnati, OH 45242, USA",1082,550,1979,04-20-2016,"$114,000",5,2,1,1,107037.0,WD - Warranty Deed (Conv),1,0.0,"$3,014.48",49.620025,SYCAMORE CSD,60009 - MONTGOMERY TOWNE CONDO,No,No,No,Yes,No,Yes,19300,0,175030,194330,0,0,0,"$1,510.26",10885,,Lake Thames Dr,10885 Lake Thames Dr,39.2626471,-84.3466286,114000,2016,4,10885.0,,Cincinnati
186,600-0100-0097-00,"7311 Timberknoll Dr, Cincinnati, OH 45242, USA",1288,510,1959,05-16-2016,"$249,000",6,3,2,0,109434.0,WD - Warranty Deed (Conv),1,0.316,"$4,489.79",49.620025,SYCAMORE CSD,60028 - SYCAMORE 28,No,No,No,Yes,No,Yes,66740,0,222430,289170,0,0,0,"$2,252.46",7311,,Timberknoll Dr,7311 Timberknoll Dr,39.2213466,-84.36190649999999,249000,2016,5,7311.0,,Cincinnati
187,603-0015-0002-00,"10889 Deerfield Rd, Cincinnati, OH 45242, USA",1098,510,1952,06-17-2016,"$187,000",4,2,1,0,112728.0,WD - Warranty Deed (Conv),1,0.553,"$4,314.84",55.899522,SYCAMORE CSD,60305 - MONTGOMERY 05,No,No,No,Yes,No,Yes,123500,0,121500,245000,0,0,0,"$4,314.84",10889,,Deerfield Rd,10889 Deerfield Rd,39.2604248,-84.3584152,187000,2016,6,10889.0,,Cincinnati
188,612-0030-0273-00,"9177 Scamper Ln, Cincinnati, OH 45242, USA",1462,510,1959,05-19-2016,"$274,900",6,3,2,1,109987.0,WD - Warranty Deed (Conv),1,0.325,"$5,481.73",47.604103,SYCAMORE CSD,61201 - BLUE ASH 01,No,No,No,Yes,No,Yes,58970,0,309350,368320,0,0,0,"$2,743.89",9177,,Scamper Ln,9177 Scamper Ln,39.2242069,-84.37094809999999,274900,2016,5,9177.0,,Cincinnati
189,612-0050-0089-00,"9471 West Ave, Cincinnati, OH 45242, USA",1221,510,1950,05-18-2016,"$170,000",7,3,2,1,243955.0,WD - Warranty Deed (Conv),1,0.178,"$3,662.30",47.604103,SYCAMORE CSD,61203 - BLUE ASH 03,No,No,No,No,No,Yes,85680,0,152320,238000,0,0,0,"$1,832.66",9471,,West Ave,9471 West Ave,39.2300191,-84.3838158,170000,2016,5,9471.0,,Cincinnati
190,612-0050-0428-00,"4632 Hunt Rd, Cincinnati, OH 45242, USA",1326,510,1949,05-31-2016,"$155,000",5,3,2,0,222197.0,WD - Warranty Deed (Conv),1,0.176,"$3,348.64",47.604103,SYCAMORE CSD,61203 - BLUE ASH 03,No,Yes,No,No,No,Yes,84000,0,133610,217610,0,0,0,"$1,675.83",4632,,Hunt Rd,4632 Hunt Rd,39.229274,-84.38108419999999,155000,2016,5,4632.0,,Cincinnati
191,612-0060-0027-00,"9385 Floral Ave, Cincinnati, OH 45242, USA",1350,510,1951,06-21-2016,"$157,500",6,3,1,0,112948.0,WD - Warranty Deed (Conv),1,0.202,"$3,323.88",47.604103,SYCAMORE CSD,61203 - BLUE ASH 03,No,No,No,Yes,No,Yes,89510,0,133850,223360,0,0,0,"$1,663.45",9385,,Floral Ave,9385 Floral Ave,39.2283364,-84.38293259999999,157500,2016,6,9385.0,,Cincinnati
192,612-0060-0162-00,"4470 Elsmere Ave, Cincinnati, OH 45242, USA",1485,510,1956,04-01-2016,"$148,000",7,3,1,0,274152.0,FD - Fiduciary Deed (Conv),1,0.172,"$2,976.38",47.604103,SYCAMORE CSD,61203 - BLUE ASH 03,No,Yes,No,Yes,No,Yes,84000,0,116000,200000,0,0,0,"$1,489.70",4470,,Elsmere Ave,4470 Elsmere Ave,39.2256107,-84.3864084,148000,2016,4,4470.0,,Cincinnati
193,612-0060-0472-00,"4736 Alpine Ave, Cincinnati, OH 45242, USA",1221,510,1956,04-25-2016,"$140,000",6,3,2,0,263943.0,WE - Warranty Deed (EX),1,0.251,"$3,913.91",47.604103,SYCAMORE CSD,61203 - BLUE ASH 03,No,No,No,Yes,No,Yes,93240,0,168810,262050,0,0,0,$0.00,4736,,Alpine Ave,4736 Alpine Ave,39.2238161,-84.3795239,140000,2016,4,4736.0,,Cincinnati
194,612-0070-0109-00,"4542 Edwards Ave, Cincinnati, OH 45242, USA",1440,510,1954,06-08-2016,"$169,900",8,4,1,1,230691.0,WD - Warranty Deed (Conv),1,0.167,"$3,506.36",47.604103,SYCAMORE CSD,61203 - BLUE ASH 03,No,Yes,No,No,No,Yes,82820,0,145020,227840,0,0,0,"$1,754.69",4542,,Edwards Ave,4542 Edwards Ave,39.2279002,-84.3841369,169900,2016,6,4542.0,,Cincinnati
195,612-0070-0298-00,"9483 Hunters Creek Dr, Blue Ash, OH 45242, USA",1351,550,1981,05-03-2016,"$157,500",5,3,2,2,197574.0,QE - Quit Claim Deed (EX),1,0.0,"$3,510.68",47.604103,SYCAMORE CSD,61220 - TWIN LAKES CONDO,No,No,No,Yes,No,Yes,23400,0,212400,235800,0,0,0,"$1,756.55",9483,,Hunters Creek Dr,9483 Hunters Creek Dr,39.227883,-84.3905606,157500,2016,5,9483.0,,Blue Ash
196,612-0121-0022-00,"9896 Timbers Dr, Cincinnati, OH 45242, USA",1360,555,1979,06-20-2016,"$100,000",6,3,3,1,226180.0,SV - Survivorship Deed (Conv),1,0.017,"$2,811.92",47.604103,SYCAMORE CSD,61212 - TIMBERS LANDO,No,No,No,Yes,No,Yes,28000,0,160900,188900,0,0,0,"$1,407.17",9896,,Timbers Dr,9896 Timbers Dr,39.2389042,-84.3930974,100000,2016,6,9896.0,,Cincinnati
197,612-0121-0047-00,"9941 Timbers Dr, Cincinnati, OH 45242, USA",1159,555,1979,05-20-2016,"$110,000",5,2,1,1,328480.0,WD - Warranty Deed (Conv),1,0.013,"$2,996.62",47.604103,SYCAMORE CSD,61212 - TIMBERS LANDO,No,No,No,No,No,Yes,28000,0,166750,194750,0,0,0,"$1,499.52",9941,,Timbers Dr,9941 Timbers Dr,39.2390907,-84.3947112,110000,2016,5,9941.0,,Cincinnati
198,612-0121-0143-00,"9846 Timbers Dr, Cincinnati, OH 45242, USA",1159,555,1985,04-14-2016,"$117,500",5,2,2,1,106551.0,WD - Warranty Deed (Conv),1,0.014,"$2,996.28",47.604103,SYCAMORE CSD,61212 - TIMBERS LANDO,No,No,No,Yes,No,Yes,28000,0,173300,201300,0,0,0,"$1,499.35",9846,,Timbers Dr,9846 Timbers Dr,39.238596,-84.39315429999999,117500,2016,4,9846.0,,Cincinnati
199,612-0121-0152-00,"9824 Timbers Dr, Cincinnati, OH 45242, USA",1158,555,1986,04-29-2016,"$137,500",5,2,2,1,108003.0,WD - Warranty Deed (Conv),1,0.027,"$3,315.98",47.604103,SYCAMORE CSD,61212 - TIMBERS LANDO,No,No,No,No,No,Yes,28000,0,187520,215520,0,0,0,"$1,659.20",9824,,Timbers Dr,9824 Timbers Dr,39.23797709999999,-84.39290799999999,137500,2016,4,9824.0,,Cincinnati
200,612-0131-0141-00,"10093 Zig Zag Rd, Cincinnati, OH 45242, USA",1483,510,1959,06-24-2016,"$195,000",6,3,2,0,208870.0,WE - Warranty Deed (EX),1,0.53,"$4,051.47",47.604103,SYCAMORE CSD,61226 - BLUE ASH 26,No,Yes,No,No,No,Yes,83390,0,179720,263110,0,0,0,"$2,028.76",10093,,Zig Zag Rd,10093 Zig Zag Rd,39.2445582,-84.3682724,195000,2016,6,10093.0,,Cincinnati
201,612-0170-0009-00,"4503 Cornell Rd, Cincinnati, OH 45241, USA",1452,510,1955,06-14-2016,"$118,500",6,3,1,0,305482.0,WE - Warranty Deed (EX),1,0.597,"$4,312.65",47.604103,SYCAMORE CSD,61203 - BLUE ASH 03,YES(17),Yes,No,No,No,Yes,146160,0,133780,279940,0,0,0,"$2,160.56",4503,,Cornell Rd,4503 Cornell Rd,39.27062610000001,-84.3812074,118500,2016,6,4503.0,,Cincinnati
202,612-0170-0099-00,"4385 Classic Dr, Cincinnati, OH 45241, USA",1320,510,1964,04-06-2016,"$158,000",5,3,1,1,105841.0,FD - Fiduciary Deed (Conv),1,0.593,"$3,368.53",47.604103,SYCAMORE CSD,61234 - BLUE ASH 34,No,No,No,Yes,No,Yes,55370,0,170800,226170,0,0,0,"$1,687.29",4385,,Classic Dr,4385 Classic Dr,39.2744508,-84.38420459999999,158000,2016,4,4385.0,,Cincinnati
203,612-0170-0294-00,"11119 Jardin Pl, Cincinnati, OH 45241, USA",1440,555,1986,04-04-2016,"$218,000",6,3,2,1,105520.0,WD - Warranty Deed (Conv),1,0.058,"$3,634.20",47.604103,SYCAMORE CSD,61232 - JARDIN DEL FLEURS LANDO,YES(11),No,No,Yes,No,Yes,44000,0,200280,244280,0,0,0,"$1,818.31",11119,,Jardin Pl,11119 Jardin Pl,39.2678315,-84.3833022,218000,2016,4,11119.0,,Cincinnati
204,612-0170-0297-00,"11125 Jardin Pl, Cincinnati, OH 45241, USA",1347,555,1986,06-27-2016,"$245,000",4,2,2,1,162621.0,WE - Warranty Deed (EX),1,0.068,"$4,583.56",47.604103,SYCAMORE CSD,61232 - JARDIN DEL FLEURS LANDO,No,No,No,Yes,No,Yes,44000,0,264150,308150,0,0,0,"$2,292.99",11125,,Jardin Pl,11125 Jardin Pl,39.2682522,-84.3832821,245000,2016,6,11125.0,,Cincinnati
205,612-0180-0155-00,"10823 Fallsington Ct, Cincinnati, OH 45242, USA",1223,555,1984,05-31-2016,"$195,000",5,2,2,0,230945.0,WD - Warranty Deed (Conv),1,0.065,"$3,422.66",47.604103,SYCAMORE CSD,61236 - SYCAMORE VILLAGE LANDO,No,No,No,Yes,No,Yes,30000,0,200060,230060,0,0,0,"$1,712.54",10823,,Fallsington Ct,10823 Fallsington Ct,39.2581167,-84.3599472,195000,2016,5,10823.0,,Cincinnati
206,612-0180-0165-00,"10831 Fallsington Ct, Cincinnati, OH 45242, USA",1368,555,1984,06-06-2016,"$179,900",6,3,2,2,341153.0,WD - Warranty Deed (Conv),1,0.045,"$3,335.58",47.604103,SYCAMORE CSD,61236 - SYCAMORE VILLAGE LANDO,No,No,No,Yes,No,Yes,30000,0,194200,224200,0,0,0,"$1,669.00",10831,,Fallsington Ct,10831 Fallsington Ct,39.2585236,-84.3601582,179900,2016,6,10831.0,,Cincinnati
207,612-0190-1051-00,"5133 Cook Ave, Cincinnati, OH 45242, USA",984,510,1996,05-11-2016,"$122,900",5,3,1,0,310227.0,WD - Warranty Deed (Conv),1,0.0,"$2,770.67",47.604103,SYCAMORE CSD,61210 - BLUE ASH 10,No,No,Yes,Yes,No,Yes,53290,0,159210,212500,0,0,0,"$2,770.67",5133,,Cook Ave,5133 Cook Ave,39.2650427,-84.371106,122900,2016,5,5133.0,,Cincinnati
208,620-0161-0067-00,"10392 Humphrey Rd, Cincinnati, OH 45242, USA",1200,510,1956,05-10-2016,"$185,000",6,3,1,0,302996.0,WE - Warranty Deed (EX),1,0.825,"$3,763.00",53.799505,SYCAMORE CSD,62023 - SYMMES 23,No,No,No,Yes,No,Yes,83600,0,138330,221930,0,0,0,"$1,892.09",10392,,Humphrey Rd,10392 Humphrey Rd,39.2471711,-84.31002989999999,185000,2016,5,10392.0,,Cincinnati
209,620-0190-0700-00,"12061 Carrington Ln Apt 101, Loveland, OH 45140, USA",1450,550,1995,04-21-2016,"$112,000",6,2,2,0,107292.0,WD - Warranty Deed (Conv),1,0.0,"$2,464.44",53.799505,SYCAMORE CSD,62011 - CARRINGTON CROSSING CONDO-620,YES(97),No,Yes,Yes,No,Yes,20400,0,151850,172250,0,0,0,"$1,235.24",12061,101,Carrington Ln,12061 Carrington Ln 101,39.2878889,-84.29804109999999,112000,2016,4,12061.0,,Loveland
