,parcel_number,address,finsqft,use,year_built,transfer_date,amount,total_rooms,bedrooms,full_baths,half_baths,conveyance_number,deed_type,num_parcels_sold,acreage,annual_tax,effective_tax_rate,school_district,appraisal_area,board_of_revision,rental_registration,homestead,owner_occupancy_credit,foreclosure,special_assessments,market_land_value,cauv_value,market_improvement_value,market_total_value,tif_value,abated_value,exempt_value,taxes_paid,st_num,apt_num,street,new_address,formatted_address,longitude,latitude,num_amount,year,month,missing_house_number,city
299,612-0040-0215-00,4841 Myrtle Ave,840,510,1938,06-25-2013,"$144,000",5,2,1,0,53030.0,WD - Warranty Deed (Conv),1,0.173,"$3,317.90",47.604103,SYCAMORE CSD,61203 - BLUE ASH 03,No,No,No,No,No,Yes,84000,0,131600,215600,0,0,0,"$1,660.46",4841,,Myrtle Ave,4841 Myrtle Ave,"4841 Myrtle Ave, Blue Ash, OH 45242, USA",-84.3751303,39.2317792,144000,2013,6,4841,
300,612-0040-0424-00,9491 Wynnecrest Dr,1064,510,1958,05-29-2013,"$161,500",6,3,2,0,51267.0,WD - Warranty Deed (Conv),1,0.261,"$4,352.83",47.604103,SYCAMORE CSD,61203 - BLUE ASH 03,No,Yes,No,No,No,Yes,97020,0,185680,282700,0,0,0,$0.00,9491,,Wynnecrest Dr,9491 Wynnecrest Dr,"9491 Wynnecrest Dr, Cincinnati, OH 45242, USA",-84.3735288,39.2293548,161500,2013,5,9491,
301,612-0050-0207-00,4630 Miller Rd,1073,510,1959,05-08-2013,"$129,000",5,3,2,0,50173.0,WD - Warranty Deed (Conv),1,0.316,"$3,440.85",47.604103,SYCAMORE CSD,61203 - BLUE ASH 03,No,Yes,No,No,No,Yes,96600,0,126790,223390,0,0,0,"$1,723.45",4630,,Miller Rd,4630 Miller Rd,"4630 Miller Rd, Cincinnati, OH 45242, USA",-84.380516,39.234117,129000,2013,5,4630,
302,612-0060-0250-00,4742 Alpine Ave,1122,510,1956,06-04-2013,"$100,000",6,3,1,0,51695.0,WD - Warranty Deed (Conv),1,0.222,"$3,590.79",47.604103,SYCAMORE CSD,61203 - BLUE ASH 03,No,No,No,Yes,No,Yes,93240,0,147430,240670,0,0,0,"$1,798.42",4742,,Alpine Ave,4742 Alpine Ave,"4742 Alpine Ave, Cincinnati, OH 45242, USA",-84.37931859999999,39.2236039,100000,2013,6,4742,
303,612-0060-0289-00,4721 Belleview Ave,1192,510,1950,06-07-2013,"$164,000",6,3,2,0,89915.0,WD - Warranty Deed (Conv),1,0.414,"$4,632.33",47.604103,SYCAMORE CSD,61203 - BLUE ASH 03,No,No,No,Yes,No,Yes,111090,0,199620,310710,0,0,0,"$2,319.19",4721,,Belleview Ave,4721 Belleview Ave,"4721 Belleview Ave, Cincinnati, OH 45242, USA",-84.3792776,39.2218211,164000,2013,6,4721,
304,612-0070-0023-00,4443 Hunt Rd,1088,510,1952,04-23-2013,"$110,000",6,4,1,0,230899.0,WD - Warranty Deed (Conv),1,0.165,"$3,478.68",47.604103,SYCAMORE CSD,61203 - BLUE ASH 03,YES(13),Yes,No,No,No,Yes,83160,0,142880,226040,0,0,0,"$1,740.85",4443,,Hunt Rd,4443 Hunt Rd,"4443 Hunt Rd, Cincinnati, OH 45242, USA",-84.3875814,39.2293947,110000,2013,4,4443,
305,612-0070-0124-00,4358 Victor Ave,1440,510,1953,06-11-2013,"$108,000",7,4,2,0,61525.0,WD - Warranty Deed (Conv),1,0.138,"$3,481.09",47.604103,SYCAMORE CSD,61203 - BLUE ASH 03,No,No,No,Yes,No,Yes,75600,0,157960,233560,0,0,0,"$1,743.57",4358,,Victor Ave,4358 Victor Ave,"4358 Victor Ave, Cincinnati, OH 45242, USA",-84.39023960000002,39.2293102,108000,2013,6,4358,
306,612-0100-0092-00,3548 Lobelia Dr,1320,510,1958,06-28-2013,"$200,000",6,4,2,0,53260.0,WD - Warranty Deed (Conv),1,0.565,"$3,679.03",47.604103,SYCAMORE CSD,61205 - BLUE ASH 05,No,No,No,Yes,No,Yes,56840,0,190220,247060,0,0,0,"$1,842.54",3548,,Lobelia Dr,3548 Lobelia Dr,"3548 Lobelia Dr, Blue Ash, OH 45241, USA",-84.4126436,39.2329194,200000,2013,6,3548,
307,612-0121-0042-00,9931 Timbers Dr,1158,555,1979,05-20-2013,"$142,000",5,2,3,0,50849.0,WD - Warranty Deed (Conv),1,0.026,"$3,125.84",47.604103,SYCAMORE CSD,61212 - TIMBERS LANDO,No,No,No,Yes,No,Yes,28000,0,182040,210040,0,0,0,"$1,564.13",9931,,Timbers Dr,9931 Timbers Dr,"9931 Timbers Dr, Cincinnati, OH 45242, USA",-84.3946804,39.2393624,142000,2013,5,9931,
308,612-0121-0079-00,9938 Timbers Dr,1254,555,1979,06-20-2013,"$113,500",5,2,2,1,335719.0,WD - Warranty Deed (Conv),1,0.016,"$2,724.70",47.604103,SYCAMORE CSD,61212 - TIMBERS LANDO,No,No,No,No,No,Yes,28000,0,149060,177060,0,0,0,"$1,363.56",9938,,Timbers Dr,9938 Timbers Dr,"9938 Timbers Dr, Cincinnati, OH 45242, USA",-84.3943525,39.2398363,113500,2013,6,9938,
309,612-0190-0885-00,11057 Wood Ave,1440,510,1994,04-22-2013,"$112,250",6,3,2,0,343510.0,WD - Warranty Deed (Conv),2,0.139,"$3,037.19",47.604103,SYCAMORE CSD,61210 - BLUE ASH 10,No,Yes,No,Yes,No,Yes,24230,0,179650,203880,0,0,0,"$1,521.62",11057,,Wood Ave,11057 Wood Ave,"11057 Wood Ave, Cincinnati, OH 45242, USA",-84.3715167,39.2660333,112250,2013,4,11057,
310,620-0070-0188-00,11626 Woodwind Dr,1140,510,1957,06-12-2013,"$125,000",6,3,1,0,52287.0,EXD - Executors Deed (Conv),1,0.46,"$3,971.90",60.666397,LOVELAND CSD,62007 - SYMMES 07,No,No,No,Yes,No,Yes,38400,0,171170,209570,0,0,0,"$1,989.73",11626,,Woodwind Dr,11626 Woodwind Dr,"11626 Woodwind Dr, Loveland, OH 45140, USA",-84.2920011,39.2770477,125000,2013,6,11626,
311,620-0070-0233-00,9885 Fields Ertel Rd,1200,510,1977,04-29-2013,"$147,500",5,2,2,0,,QE - Quit Claim Deed (EX),1,1.113,"$5,919.89",60.666397,LOVELAND CSD,62008 - SYMMES 08,No,No,No,Yes,No,Yes,97620,0,213240,310860,0,0,0,"$2,967.51",9885,,Fields Ertel Rd,9885 Fields Ertel Rd,"9885 Fields Ertel Rd, Loveland, OH 45140, USA",-84.2847634,39.2898733,147500,2013,4,9885,
312,620-0201-0095-00,12012 Snider Rd,1472,510,1956,04-08-2013,"$140,000",6,3,1,1,48658.0,WD - Warranty Deed (Conv),1,0.481,"$4,354.79",53.799505,SYCAMORE CSD,62009 - SYMMES 09,No,No,No,Yes,No,Yes,80000,0,177530,257530,0,0,0,"$2,184.96",12012,,Snider Rd,12012 Snider Rd,"12012 Snider Rd, Cincinnati, OH 45249, USA",-84.3341824,39.2886911,140000,2013,4,12012,
313,620-0201-0097-00,11984 Snider Rd,1063,510,1956,05-02-2013,"$150,000",5,3,2,0,282778.0,WD - Warranty Deed (Conv),1,0.53,"$4,805.13",53.799505,SYCAMORE CSD,62009 - SYMMES 09,No,No,No,No,No,Yes,80000,0,195100,275100,0,0,0,"$2,410.13",11984,,Snider Rd,11984 Snider Rd,"11984 Snider Rd, Cincinnati, OH 45249, USA",-84.33429939999999,39.2879262,150000,2013,5,11984,
314,620-0204-0083-00,11811 Vaukvalley Ln,1338,550,1986,05-28-2013,"$160,000",5,3,3,0,125847.0,WD - Warranty Deed (Conv),1,0.0,"$5,064.54",53.799505,SYCAMORE CSD,62012 - SYCAMORE GLEN CONDO,No,No,No,Yes,No,Yes,36000,0,264210,300210,0,0,0,"$2,535.29",11811,,Vaukvalley Ln,11811 Vaukvalley Ln,"11811 Vauk Valley Ln, Cincinnati, OH 45249, USA",-84.3200449,39.2812674,160000,2013,5,11811,
315,620-0204-0093-00,11720 Gable Glen Ln,1336,550,1987,04-09-2013,"$104,000",5,2,3,0,299754.0,QU - Quit Claim Deed (Conv),1,0.0,"$4,637.82",53.799505,SYCAMORE CSD,62012 - SYCAMORE GLEN CONDO,YES(14),No,No,Yes,No,Yes,36000,0,238530,274530,0,0,0,"$2,321.93",11720,,Gable Glen Ln,11720 Gable Glen Ln,"11720 Gable Glen Ln, Cincinnati, OH 45249, USA",-84.31875099999999,39.284205,104000,2013,4,11720,
316,620-0204-0244-00,11760 602 Gable Glen Ln,1481,550,1993,05-08-2013,"$155,500",6,2,3,1,185145.0,WD - Warranty Deed (Conv),1,0.0,"$5,028.36",53.799505,SYCAMORE CSD,62012 - SYCAMORE GLEN CONDO,No,No,No,Yes,No,Yes,36000,0,261830,297830,0,0,0,"$2,517.20",11760,602,Gable Glen Ln,11760 Gable Glen Ln 602,"11760 Gable Glen Ln #602, Cincinnati, OH 45249, USA",-84.32023769999999,39.284323,155500,2013,5,11760,
317,621-0002-0127-00,419 Ohio Ave,1032,510,1927,04-05-2013,"$106,000",5,2,1,0,48545.0,WD - Warranty Deed (Conv),1,0.259,"$3,188.00",60.879881,LOVELAND CSD,62102 - LOVELAND 02,No,No,No,Yes,No,No,59370,0,108640,168010,0,0,0,"$1,594.00",419,,Ohio Ave,419 Ohio Ave,"419 Ohio Ave, Loveland, OH 45140, USA",-84.2619958,39.2710251,106000,2013,4,419,
318,621-0008-0173-00,700 Marbea Dr,1069,510,1963,04-25-2013,"$107,500",5,3,1,0,268254.0,QE - Quit Claim Deed (EX),1,0.192,"$3,202.10",60.879881,LOVELAND CSD,62109 - LOVELAND 09,No,No,No,Yes,No,No,54500,0,114220,168720,0,0,0,"$1,601.05",700,,Marbea Dr,700 Marbea Dr,"700 Marbea Dr, Loveland, OH 45140, USA",-84.2793756,39.2634478,107500,2013,4,700,
319,621-0010-0060-00,1306 W Loveland Ave,1278,510,1940,06-06-2013,"$155,000",5,2,1,0,308548.0,QE - Quit Claim Deed (EX),1,0.609,"$4,464.78",60.879881,LOVELAND CSD,62103 - LOVELAND 03,No,No,No,Yes,No,No,93220,0,141410,234630,0,0,0,"$2,232.39",1306,,W Loveland Ave,1306 W Loveland Ave,"1306 W Loveland Ave, Loveland, OH 45140, USA",-84.2761263,39.2723872,155000,2013,6,1306,
320,621-0011-0022-00,1519 Durango Dr,1400,510,1956,04-01-2013,"$151,000",5,3,2,0,88812.0,SV - Survivorship Deed (Conv),1,0.915,"$5,490.60",60.879881,LOVELAND CSD,62103 - LOVELAND 03,No,No,No,Yes,No,No,76160,0,213180,289340,0,0,0,"$2,745.30",1519,,Durango Dr,1519 Durango Dr,"1519 Durango Dr, Loveland, OH 45140, USA",-84.28056839999999,39.2693703,151000,2013,4,1519,
321,621-0014-0025-00,2081 Stratford Ct,1220,550,1985,06-04-2013,"$104,000",5,2,1,2,51603.0,WD - Warranty Deed (Conv),1,0.0,"$3,621.32",60.879881,LOVELAND CSD,62105 - HIDDEN CREEK CONDO,No,No,No,Yes,No,No,20000,0,170780,190780,0,0,0,"$1,810.66",2081,,Stratford Ct,2081 Stratford Ct,"2081 Stratford Ct, Loveland, OH 45140, USA",-84.3030002,39.2750108,104000,2013,6,2081,
322,621-0014-0035-00,3010 Stratford Ct,1410,550,1985,05-02-2013,"$124,000",6,3,2,2,49849.0,WD - Warranty Deed (Conv),1,0.0,"$4,025.78",60.879881,LOVELAND CSD,62105 - HIDDEN CREEK CONDO,No,No,No,Yes,No,No,20000,0,192080,212080,0,0,0,"$2,012.89",3010,,Stratford Ct,3010 Stratford Ct,"3010 Stratford Ct, Loveland, OH 45140, USA",-84.3022589,39.2753452,124000,2013,5,3010,
323,621-0014-0076-00,3025 Stratford Ct,1315,550,1988,06-24-2013,"$101,000",6,2,2,0,159224.0,QE - Quit Claim Deed (EX),1,0.0,"$3,032.72",60.879881,LOVELAND CSD,62105 - HIDDEN CREEK CONDO,YES(00),No,Yes,Yes,No,No,20000,0,166110,186110,0,0,0,"$1,516.36",3025,,Stratford Ct,3025 Stratford Ct,"3025 Stratford Ct, Loveland, OH 45140, USA",-84.30229489999999,39.2743297,101000,2013,6,3025,
324,621-0015-0015-00,1028 Stratford Ct,969,550,1981,06-14-2013,"$124,900",5,2,2,1,52456.0,TR - Trustees Deed (Conv),1,0.0,"$4,252.14",60.879881,LOVELAND CSD,62105 - HIDDEN CREEK CONDO,No,No,No,No,No,No,20000,0,196530,216530,0,0,0,"$2,126.07",1028,,Stratford Ct,1028 Stratford Ct,"1028 Stratford Ct, Loveland, OH 45140, USA",-84.3036254,39.27507629999999,124900,2013,6,1028,
325,621-0015-0074-00,2026 Stratford Ct,1472,550,1983,06-24-2013,"$125,000",7,4,2,1,150218.0,WD - Warranty Deed (Conv),1,0.0,"$4,321.24",60.879881,LOVELAND CSD,62105 - HIDDEN CREEK CONDO,No,No,No,Yes,No,No,20000,0,207670,227670,0,0,0,"$2,160.62",2026,,Stratford Ct,2026 Stratford Ct,"2026 Stratford Ct, Loveland, OH 45140, USA",-84.3048865,39.2765059,125000,2013,6,2026,
326,621-0015-0096-00,1042 Stratford Ct,986,550,1984,04-15-2013,"$112,000",5,2,1,1,48925.0,WD - Warranty Deed (Conv),1,0.0,"$3,415.84",60.879881,LOVELAND CSD,62105 - HIDDEN CREEK CONDO,YES(10),No,No,Yes,No,No,20000,0,159930,179930,0,0,0,"$1,707.92",1042,,Stratford Ct,1042 Stratford Ct,"1042 Stratford Ct, Loveland, OH 45140, USA",-84.3042411,39.2750981,112000,2013,4,1042,
327,621-0015-0108-00,5041 Bristol Ct,836,550,1990,05-10-2013,"$125,500",4,2,2,1,315187.0,WD - Warranty Deed (Conv),1,0.0,"$3,795.26",60.879881,LOVELAND CSD,62105 - HIDDEN CREEK CONDO,No,No,No,Yes,No,No,20000,0,180000,200000,0,0,0,"$1,897.63",5041,,Bristol Ct,5041 Bristol Ct,"5041 Bristol Ct, Loveland, OH 45140, USA",-84.3043,39.2722369,125500,2013,5,5041,
328,520-0111-0004-00,4261 Walton Creek Rd,1269,510,1919,06-09-2014,"$105,500",5,2,1,0,318391.0,QE - Quit Claim Deed (EX),5,0.262,"$4,705.41",85.198298,MARIEMONT CSD,52008 - COLUMBIA 08,No,No,No,No,No,Yes,50200,0,119860,170060,0,0,0,"$2,360.27",4261,,Walton Creek Rd,4261 Walton Creek Rd,"4261 Walton Creek Rd, Cincinnati, OH 45243, USA",-84.3558275,39.1459294,105500,2014,6,4261,
329,521-0002-0081-00,407 Cornell Ave,1498,510,1948,04-24-2014,"$146,900",5,3,2,0,237352.0,WD - Warranty Deed (Conv),1,0.259,"$7,925.57",75.21388,MARIEMONT CSD,52102 - TERRACE PARK 02,No,No,No,Yes,No,Yes,128560,0,205940,334500,0,0,0,"$3,965.08",407,,Cornell Ave,407 Cornell Ave,"407 Cornell Ave, Terrace Park, OH 45174, USA",-84.31403780000001,39.1617671,146900,2014,4,407,
330,521-0004-0009-00,139 Wrenwood Ln,1499,510,1955,05-29-2014,"$186,000",5,2,1,0,212986.0,WD - Warranty Deed (Conv),1,0.321,"$6,866.11",75.21388,MARIEMONT CSD,52101 - TERRACE PARK 01,YES(14),No,No,Yes,No,Yes,98730,0,191020,289750,0,0,0,"$3,435.35",139,,Wrenwood Ln,139 Wrenwood Ln,"139 Wrenwood Ln, Terrace Park, OH 45174, USA",-84.3155587,39.1582763,186000,2014,5,139,
331,521-0004-0041-00,131 Wrenwood Ln,1335,510,1955,05-21-2014,"$241,500",6,3,2,0,68355.0,WD - Warranty Deed (Conv),1,0.328,"$7,798.12",75.21388,MARIEMONT CSD,52101 - TERRACE PARK 01,No,No,No,Yes,No,Yes,99470,0,229770,329240,0,0,0,"$3,900.21",131,,Wrenwood Ln,131 Wrenwood Ln,"131 Wrenwood Ln, Terrace Park, OH 45174, USA",-84.31448999999999,39.1590749,241500,2014,5,131,
332,521-0009-0085-00,100 Fieldstone Dr,1490,510,1962,06-02-2014,"$273,000",6,3,2,0,253610.0,WD - Warranty Deed (Conv),1,0.453,"$8,289.98",75.21388,MARIEMONT CSD,52101 - TERRACE PARK 01,No,No,No,Yes,No,Yes,118540,0,231460,350000,0,0,0,"$4,146.14",100,,Fieldstone Dr,100 Fieldstone Dr,"100 Fieldstone Dr, Terrace Park, OH 45174, USA",-84.3158053,39.1649319,273000,2014,6,100,
333,523-0004-0017-00,3813 Meadowlark Ln,1296,510,1950,05-06-2014,"$152,000",6,3,2,0,205387.0,WD - Warranty Deed (Conv),1,0.138,"$5,947.22",76.13317,MARIEMONT CSD,52301 - FAIRFAX 01,YES(14),No,No,Yes,No,Yes,63450,0,186600,250050,0,0,0,"$2,975.64",3813,,Meadowlark Ln,3813 Meadowlark Ln,"3813 Meadowlark Ln, Cincinnati, OH 45227, USA",-84.39525809999999,39.1422687,152000,2014,5,3813,
334,523-0006-0058-00,3915 Lonsdale St,1279,510,1922,04-02-2014,"$144,000",6,3,2,0,279451.0,WD - Warranty Deed (Conv),2,0.0,"$6,705.15",76.13317,MARIEMONT CSD,52301 - FAIRFAX 01,No,No,No,No,No,Yes,56800,0,215640,272440,0,0,0,"$3,356.64",3915,,Lonsdale St,3915 Lonsdale St,"3915 Lonsdale St, Cincinnati, OH 45227, USA",-84.39315909999999,39.1463954,144000,2014,4,3915,
335,523-0006-0581-00,3979 Watterson Rd,1421,510,1930,06-24-2014,"$143,000",6,4,2,0,70344.0,SV - Survivorship Deed (Conv),1,0.134,"$4,460.45",76.13317,MARIEMONT CSD,52301 - FAIRFAX 01,No,No,No,Yes,No,Yes,61040,0,126060,187100,0,0,0,"$2,234.29",3979,,Watterson Rd,3979 Watterson Rd,"3979 Watterson Rd, Cincinnati, OH 45227, USA",-84.39308299999999,39.1477342,143000,2014,6,3979,
336,523-0006-0652-00,3829 Belmont Ave,1366,510,1945,05-05-2014,"$111,500",6,2,1,0,268041.0,QE - Quit Claim Deed (EX),1,0.112,"$7,609.56",76.13317,MARIEMONT CSD,52301 - FAIRFAX 01,No,No,No,Yes,No,Yes,57600,0,262400,320000,0,0,0,"$3,806.81",3829,,Belmont Ave,3829 Belmont Ave,"3829 Belmont St, Cincinnati, OH 45227, USA",-84.38716060000002,39.147036,111500,2014,5,3829,
337,525-0001-0025-00,7348 Miami Ave,1066,510,1967,06-09-2014,"$108,000",6,3,2,0,230345.0,QE - Quit Claim Deed (EX),1,0.221,"$7,614.36",65.284164,MADEIRA CSD,52501 - MADEIRA 01,No,No,No,Yes,No,Yes,127600,0,247260,374860,0,0,0,"$3,810.66",7348,,Miami Ave,7348 Miami Ave,"7348 Miami Ave, Cincinnati, OH 45243, USA",-84.3622683,39.1950529,108000,2014,6,7348,
338,525-0001-0092-00,7414 Juler Ave,1378,510,1938,04-02-2014,"$190,000",7,3,1,1,325376.0,WD - Warranty Deed (Conv),1,0.224,"$7,977.80",65.284164,MADEIRA CSD,52501 - MADEIRA 01,No,Yes,No,Yes,No,Yes,127600,0,264900,392500,0,0,0,"$3,992.38",7414,,Juler Ave,7414 Juler Ave,"7414 Juler Ave, Cincinnati, OH 45243, USA",-84.36056289999999,39.1957121,190000,2014,4,7414,
339,525-0001-0107-00,7312 Juler Ave,1316,510,1924,06-20-2014,"$217,000",6,2,1,0,70195.0,WD - Warranty Deed (Conv),1,0.0,"$7,134.22",65.284164,MADEIRA CSD,52501 - MADEIRA 01,No,No,No,Yes,No,Yes,191400,0,159600,351000,0,0,0,"$3,568.85",7312,,Juler Ave,7312 Juler Ave,"7312 Juler Ave, Madeira, OH 45243, USA",-84.3609618,39.1936513,217000,2014,6,7312,
340,525-0001-0136-00,7866 Euclid Ave,1477,510,1941,06-06-2014,"$157,000",7,4,1,0,298637.0,WD - Warranty Deed (Conv),1,0.198,"$5,242.84",65.284164,MADEIRA CSD,52501 - MADEIRA 01,No,No,No,Yes,No,Yes,125280,0,132720,258000,0,0,0,"$2,624.90",7866,,Euclid Ave,7866 Euclid Ave,"7866 Euclid Ave, Cincinnati, OH 45243, USA",-84.3575321,39.1910357,157000,2014,6,7866,
341,525-0001-0233-00,7262 Thomas Dr,832,510,1951,06-16-2014,"$139,000",4,2,1,0,69839.0,WD - Warranty Deed (Conv),1,0.192,"$5,478.98",65.284164,MADEIRA CSD,52501 - MADEIRA 01,No,No,No,Yes,No,Yes,123770,0,145730,269500,0,0,0,"$2,742.97",7262,,Thomas Dr,7262 Thomas Dr,"7262 Thomas Dr, Cincinnati, OH 45243, USA",-84.35709500000002,39.195449,139000,2014,6,7262,
342,525-0001-0355-00,7279 Berwood Dr,1075,510,1953,06-09-2014,"$163,000",5,3,1,0,326227.0,WE - Warranty Deed (EX),1,0.186,"$5,568.72",65.284164,MADEIRA CSD,52501 - MADEIRA 01,No,No,No,Yes,No,Yes,122500,0,151540,274040,0,0,0,"$2,787.84",7279,,Berwood Dr,7279 Berwood Dr,"7279 Berwood Dr, Madeira, OH 45243, USA",-84.3586962,39.1970263,163000,2014,6,7279,
343,525-0001-0365-00,7254 Jethve Ln,1385,510,1954,06-20-2014,"$254,500",7,4,2,0,70166.0,WD - Warranty Deed (Conv),1,0.186,"$6,669.24",65.284164,MADEIRA CSD,52501 - MADEIRA 01,No,No,No,Yes,No,Yes,122500,0,205930,328430,0,0,0,"$3,336.36",7254,,Jethve Ln,7254 Jethve Ln,"7254 Jethve Ln, Cincinnati, OH 45243, USA",-84.3594832,39.194916,254500,2014,6,7254,
344,525-0003-0089-00,7100 Wallace Ave,1066,510,1926,04-17-2014,"$201,500",5,3,2,0,66669.0,WD - Warranty Deed (Conv),1,0.161,"$6,082.14",65.284164,MADEIRA CSD,52501 - MADEIRA 01,No,No,No,Yes,No,Yes,112520,0,186570,299090,0,0,0,"$3,044.55",7100,,Wallace Ave,7100 Wallace Ave,"7100 Wallace Ave, Cincinnati, OH 45243, USA",-84.36524349999999,39.189232,201500,2014,4,7100,
345,525-0003-0122-00,7009 Wallace Ave,978,510,1925,04-22-2014,"$139,000",5,2,1,1,121168.0,WD - Warranty Deed (Conv),1,0.16,"$5,903.54",65.284164,MADEIRA CSD,52501 - MADEIRA 01,YES(12),No,No,Yes,No,Yes,112520,0,177790,290310,0,0,0,"$2,955.25",7009,,Wallace Ave,7009 Wallace Ave,"7009 Wallace Ave, Cincinnati, OH 45243, USA",-84.36605469999999,39.1883094,139000,2014,4,7009,
346,525-0007-0146-00,7324 Iuka Ave,1372,510,1948,05-13-2014,"$230,000",5,3,2,0,306338.0,WD - Warranty Deed (Conv),1,0.169,"$7,394.02",65.284164,MADEIRA CSD,52501 - MADEIRA 01,No,No,No,Yes,No,Yes,116000,0,248000,364000,0,0,0,"$3,700.49",7324,,Iuka Ave,7324 Iuka Ave,"7324 Iuka Ave, Cincinnati, OH 45243, USA",-84.3546362,39.1965035,230000,2014,5,7324,
347,525-0007-0209-00,7116 Sanoma Ave,1042,510,1947,06-05-2014,"$171,000",6,3,1,0,,QE - Quit Claim Deed (EX),1,0.171,"$4,870.02",65.284164,MADEIRA CSD,52501 - MADEIRA 01,No,No,No,Yes,No,Yes,110660,0,129130,239790,0,0,0,"$2,436.75",7116,,Sanoma Ave,7116 Sanoma Ave,"7116 Sanoma Ave, Cincinnati, OH 45243, USA",-84.35570419999999,39.1913319,171000,2014,6,7116,
348,525-0007-0263-00,7227 Longfield Dr,1296,510,1956,05-10-2014,"$130,000",6,3,1,1,219490.0,WD - Warranty Deed (Conv),1,0.22,"$6,219.75",65.284164,MADEIRA CSD,52501 - MADEIRA 01,No,No,No,Yes,No,Yes,131430,0,174560,305990,0,0,0,"$3,114.75",7227,,Longfield Dr,7227 Longfield Dr,"7227 Longfield Dr, Cincinnati, OH 45243, USA",-84.352952,39.1939521,130000,2014,5,7227,
349,525-0012-0033-00,7911 Mapleleaf Dr,1258,510,1953,05-16-2014,"$171,000",6,3,2,0,144631.0,SV - Survivorship Deed (Conv),1,0.138,"$5,962.86",65.284164,MADEIRA CSD,52501 - MADEIRA 01,No,No,No,Yes,No,Yes,104400,0,188980,293380,0,0,0,"$2,983.17",7911,,Mapleleaf Dr,7911 Mapleleaf Dr,"7911 Maple Leaf Dr, Cincinnati, OH 45243, USA",-84.3571284,39.2010387,171000,2014,5,7911,
350,525-0012-0073-00,7812 Greenbriar Ln,1149,510,1954,06-11-2014,"$219,000",5,3,1,1,270946.0,WD - Warranty Deed (Conv),1,0.138,"$6,627.58",65.284164,MADEIRA CSD,52501 - MADEIRA 01,No,Yes,No,No,No,Yes,104400,0,210600,315000,0,0,0,"$3,317.27",7812,,Greenbriar Ln,7812 Greenbriar Ln,"7812 Greenbriar Ln, Cincinnati, OH 45243, USA",-84.35914319999999,39.2023981,219000,2014,6,7812,
351,525-0012-0170-00,7939 Miami Ave,1188,510,1964,06-26-2014,"$186,900",5,2,1,1,255055.0,WD - Warranty Deed (Conv),1,0.276,"$6,213.48",65.284164,MADEIRA CSD,52501 - MADEIRA 01,No,No,No,Yes,No,Yes,152560,0,153440,306000,0,0,0,"$3,108.48",7939,,Miami Ave,7939 Miami Ave,"7939 Miami Ave, Cincinnati, OH 45243, USA",-84.3622351,39.2027823,186900,2014,6,7939,
352,525-0012-0205-00,7701 Greenbriar Ln,1260,510,1955,04-08-2014,"$138,000",6,3,1,1,66258.0,WD - Warranty Deed (Conv),2,0.364,"$7,095.98",65.284164,MADEIRA CSD,52501 - MADEIRA 01,YES(09),No,No,No,No,Yes,168430,0,168860,337290,0,0,0,"$3,551.47",7701,,Greenbriar Ln,7701 Greenbriar Ln,"7701 Greenbriar Ln, Cincinnati, OH 45243, USA",-84.36112899999999,39.2020989,138000,2014,4,7701,
353,525-0014-0120-00,6910 Dawson Rd,1452,510,1948,05-08-2014,"$190,000",8,4,2,1,145445.0,WD - Warranty Deed (Conv),1,0.3,"$6,080.20",65.284164,MADEIRA CSD,52506 - MADEIRA 06,No,No,No,Yes,No,Yes,88200,0,210650,298850,0,0,0,"$3,043.58",6910,,Dawson Rd,6910 Dawson Rd,"6910 Dawson Rd, Cincinnati, OH 45243, USA",-84.374268,39.1864787,190000,2014,5,6910,
354,525-0024-0030-00,5949 Kenwood Rd,972,510,1952,06-05-2014,"$199,900",6,3,1,1,173026.0,WD - Warranty Deed (Conv),1,0.439,"$5,824.98",65.284164,MADEIRA CSD,52503 - MADEIRA 03,No,No,No,Yes,No,Yes,144420,0,142420,286840,0,0,0,"$2,914.23",5949,,Kenwood Rd,5949 Kenwood Rd,"5949 Kenwood Rd, Cincinnati, OH 45243, USA",-84.3848615,39.1748391,199900,2014,6,5949,
355,527-0020-0143-00,5 Albert Pl,1364,510,1927,05-08-2014,"$265,000",6,3,1,1,266544.0,WE - Warranty Deed (EX),1,0.135,"$8,995.48",71.219499,MARIEMONT CSD,52701 - MARIEMONT 01,No,No,No,Yes,No,Yes,199180,0,205740,404920,0,0,0,"$4,499.77",5,,Albert Pl,5 Albert Pl,"5 Albert Pl, Cincinnati, OH 45227, USA",-84.3756923,39.1433575,265000,2014,5,5,
356,527-0030-0101-00,4208 Grove Ave,943,510,1945,05-06-2014,"$147,500",5,2,1,0,278044.0,WD - Warranty Deed (Conv),1,0.099,"$5,622.80",71.219499,MARIEMONT CSD,52703 - MARIEMONT 03,No,No,No,Yes,No,Yes,106390,0,146610,253000,0,0,0,"$2,813.43",4208,,Grove Ave,4208 Grove Ave,"4208 Grove Ave, Cincinnati, OH 45227, USA",-84.3729396,39.1499267,147500,2014,5,4208,
