,parcel_number,address,finsqft,use,year_built,transfer_date,amount,total_rooms,bedrooms,full_baths,half_baths,conveyance_number,deed_type,num_parcels_sold,acreage,annual_tax,effective_tax_rate,school_district,appraisal_area,board_of_revision,rental_registration,homestead,owner_occupancy_credit,special_assessments,market_land_value,market_improvement_value,market_total_value,abated_value,taxes_paid,st_num,apt_num,street,formatted_address,longitude,latitude,year,month,city,geometry,market_land_value_num,age_of_house
181,620-0070-0191-00,11662 Woodwind Dr,1408,510,1957,2011-05-02,162500,6,3,1,1,20053.0,WD - Warranty Deed (Conv),1,0.46,4373.45,60.666397,LOVELAND CSD,62007 - SYMMES 07,No,No,No,Yes,Yes,38400,192000,230400,0,2194.29,11662,,Woodwind Dr,"11662 Woodwind Dr, Loveland, OH 45140, USA",-84.2918777,39.27797169999999,2011,5,Loveland,,38400.0,67
182,620-0190-0782-00,12082 Maxim Ave,1383,550,1997,2011-06-06,143500,6,3,2,0,94080.0,FD - Fiduciary Deed (Conv),1,0.0,3893.66,53.799505,SYCAMORE CSD,62036 - VILLAS OF ROYAL POINT CONDO,No,No,No,Yes,Yes,40600,190120,230720,0,1949.85,12082,,Maxim Ave,"12082 Maxim Ave, Cincinnati, OH 45249, USA",-84.3097544,39.2895477,2011,6,Cincinnati,,40600.0,27
183,620-0190-0791-00,11983 7 Olde Dominion Dr,1064,550,1997,2011-05-25,109700,5,2,2,0,21214.0,WD - Warranty Deed (Conv),1,0.0,2922.14,53.799505,SYCAMORE CSD,62035 - TIMBER CREEK CONDO,No,No,No,Yes,Yes,26300,146740,173040,0,1464.09,11983,7,Olde Dominion Dr,"11983 Olde Dominion Dr APT 7, Cincinnati, OH 45249, USA",-84.3092319,39.2887741,2011,5,Cincinnati,,26300.0,27
184,620-0190-0819-00,12060 Maxim Ave,1445,550,1997,2011-06-17,145500,5,3,2,0,22280.0,WD - Warranty Deed (Conv),1,0.0,4063.6,53.799505,SYCAMORE CSD,62036 - VILLAS OF ROYAL POINT CONDO,No,No,No,Yes,Yes,40600,200210,240810,0,2034.82,12060,,Maxim Ave,"12060 Maxim Ave, Cincinnati, OH 45249, USA",-84.30938479999999,39.29025,2011,6,Cincinnati,,40600.0,27
185,620-0210-0293-00,11355 Pomo Ct,1363,510,1983,2011-04-26,120000,7,3,2,0,,WE - Warranty Deed (EX),1,0.466,4143.91,53.799505,SYCAMORE CSD,62015 - SYMMES 15,No,Yes,No,No,Yes,62770,170350,233120,0,2079.52,11355,,Pomo Ct,"11355 Pomo Ct, Cincinnati, OH 45249, USA",-84.3200389,39.2710177,2011,4,Cincinnati,,62770.0,41
186,621-0014-0042-00,3011 Stratford Ct,1456,550,1986,2011-06-23,121000,6,3,2,1,58691.0,WD - Warranty Deed (Conv),1,0.0,3577.4,60.879881,LOVELAND CSD,62105 - HIDDEN CREEK CONDO,No,No,No,Yes,No,20000,168470,188470,0,1788.7,3011,,Stratford Ct,"3011 Stratford Ct, Loveland, OH 45140, USA",-84.30232149999999,39.2747223,2011,6,Loveland,,20000.0,38
187,621-0014-0089-00,4042 White Chapel Ln,1315,550,1990,2011-06-29,113500,6,3,1,1,22728.0,WD - Warranty Deed (Conv),1,0.0,3538.94,60.879881,LOVELAND CSD,62105 - HIDDEN CREEK CONDO,No,No,No,Yes,No,20000,166260,186260,0,1769.47,4042,,White Chapel Ln,"4042 White Chapel Ln, Loveland, OH 45140, USA",-84.3030982,39.2734347,2011,6,Loveland,,20000.0,34
188,621-0015-0063-00,2038 Stratford Ct,1254,550,1983,2011-04-27,117500,5,2,1,1,327715.0,QE - Quit Claim Deed (EX),1,0.0,3363.26,60.879881,LOVELAND CSD,62105 - HIDDEN CREEK CONDO,No,No,No,Yes,No,20000,157180,177180,0,1681.63,2038,,Stratford Ct,"2038 Stratford Ct, Loveland, OH 45140, USA",-84.3046256,39.2761822,2011,4,Loveland,,20000.0,41
189,621-0015-0085-00,2012 Stratford Ct,1254,550,1983,2011-04-25,112000,5,2,2,1,229699.0,SV - Survivorship Deed (Conv),1,0.0,3818.12,60.879881,LOVELAND CSD,62105 - HIDDEN CREEK CONDO,No,No,No,Yes,No,20000,181150,201150,0,1909.06,2012,,Stratford Ct,"2012 Stratford Ct, Loveland, OH 45140, USA",-84.30528989999999,39.2769035,2011,4,Loveland,,20000.0,41
190,621-0015-0126-00,5022 207 Bristol Ct,1334,550,1996,2011-04-18,122500,5,2,2,1,119246.0,WD - Warranty Deed (Conv),1,0.0,3271.48,60.879881,LOVELAND CSD,62105 - HIDDEN CREEK CONDO,No,No,No,Yes,No,20000,152390,172390,0,1635.74,5022,207,Bristol Ct,"5022 Bristol Ct, Loveland, OH 45140, USA",-84.303929,39.2729124,2011,4,Loveland,,20000.0,28
191,621-0023-0165-00,173 Cannonade Dr,1496,510,1992,2011-06-03,200000,5,3,2,1,90055.0,SV - Survivorship Deed (Conv),1,0.153,5678.18,60.879881,LOVELAND CSD,62112 - LOVELAND 12,No,No,No,Yes,No,55900,243310,299210,0,2839.09,173,,Cannonade Dr,"173 Cannonade Dr, Loveland, OH 45140, USA",-84.2809797,39.2674493,2011,6,Loveland,,55900.0,32
192,521-0001-0065-00,410 Washington Ave,1316,510,1950,2012-06-11,130000,6,3,1,0,151816.0,WD - Warranty Deed (Conv),1,0.481,6022.24,75.21388,MARIEMONT CSD,52101 - TERRACE PARK 01,No,No,No,No,Yes,109130,136580,245710,0,3012.27,410,,Washington Ave,"410 Washington Ave, Terrace Park, OH 45174, USA",-84.30696720000002,39.1653109,2012,6,Terrace Park,,109130.0,74
193,521-0009-0067-00,103 Fieldstone Dr,1347,510,1963,2012-05-25,162000,6,3,2,0,,WE - Warranty Deed (EX),1,0.511,7323.22,75.21388,MARIEMONT CSD,52101 - TERRACE PARK 01,YES(13),No,Yes,Yes,Yes,101300,234100,335400,0,3662.76,103,,Fieldstone Dr,"103 Fieldstone Dr, Terrace Park, OH 45174, USA",-84.31490099999999,39.16448270000001,2012,5,Terrace Park,,101300.0,61
194,523-0004-0073-00,3733 Southern Ave,1310,510,1939,2012-04-17,136500,5,2,1,0,33600.0,WD - Warranty Deed (Conv),1,0.33,5215.99,76.13317,MARIEMONT CSD,52301 - FAIRFAX 01,No,No,Yes,Yes,Yes,98050,147460,245510,0,2613.68,3733,,Southern Ave,"3733 Southern Ave, Cincinnati, OH 45227, USA",-84.3938111,39.1431009,2012,4,Cincinnati,,98050.0,85
195,523-0006-0547-00,3991 Warren Ave,1039,510,1940,2012-04-16,110000,6,3,1,0,261944.0,QE - Quit Claim Deed (EX),1,0.112,4189.51,76.13317,MARIEMONT CSD,52301 - FAIRFAX 01,No,No,No,Yes,Yes,56090,119680,175770,0,2098.82,3991,,Warren Ave,"3991 Warren Ave, Cincinnati, OH 45227, USA",-84.3919228,39.1483187,2012,4,Cincinnati,,56090.0,84
196,523-0007-0213-00,5579 Nightingale Ct,925,510,1964,2012-04-17,132000,6,3,1,1,,QE - Quit Claim Deed (EX),1,0.191,4561.23,76.13317,MARIEMONT CSD,52301 - FAIRFAX 01,No,No,No,Yes,Yes,56800,134770,191570,0,2284.68,5579,,Nightingale Ct,"5579 Nightingale Ct, Cincinnati, OH 45227, USA",-84.3978429,39.1417607,2012,4,Cincinnati,,56800.0,60
197,525-0001-0018-00,7420 Miami Ave,974,510,1928,2012-05-16,174900,5,2,2,0,34741.0,WD - Warranty Deed (Conv),1,0.221,7075.78,65.284164,MADEIRA CSD,52501 - MADEIRA 01,No,No,No,Yes,Yes,127600,220200,347800,0,3541.37,7420,,Miami Ave,"7420 Miami Ave, Cincinnati, OH 45243, USA",-84.3619578,39.1961593,2012,5,Cincinnati,,127600.0,96
198,525-0001-0403-00,7293 Jethve Ln,1232,510,1954,2012-06-29,138000,5,2,1,0,280595.0,WD - Warranty Deed (Conv),1,0.211,5366.62,65.284164,MADEIRA CSD,52501 - MADEIRA 01,YES(09),No,No,Yes,Yes,130730,133270,264000,0,5366.62,7293,,Jethve Ln,"7293 Jethve Ln, Cincinnati, OH 45243, USA",-84.35908239999999,39.1979364,2012,6,Cincinnati,,130730.0,70
199,525-0003-0103-00,7417 Euclid Ave,1362,510,1942,2012-04-05,132000,6,3,1,0,79859.0,SV - Survivorship Deed (Conv),1,0.221,5955.72,65.284164,MADEIRA CSD,52501 - MADEIRA 01,No,No,No,No,Yes,130340,152870,283210,0,2979.6,7417,,Euclid Ave,"7417 Euclid Ave, Cincinnati, OH 45243, USA",-84.3660957,39.1911055,2012,4,Cincinnati,,130340.0,82
200,525-0007-0159-00,7327 Iuka Ave,1172,510,1949,2012-05-07,150000,6,4,2,0,278515.0,WD - Warranty Deed (Conv),1,0.165,6221.14,65.284164,MADEIRA CSD,52501 - MADEIRA 01,YES(13),No,No,Yes,Yes,113680,192320,306000,0,3114.05,7327,,Iuka Ave,"7327 Iuka Ave, Cincinnati, OH 45243, USA",-84.35513399999999,39.1966959,2012,5,Cincinnati,,113680.0,75
201,525-0007-0197-00,8013 Sanoma Dr,1252,510,1950,2012-04-17,109000,6,3,1,0,199878.0,WD - Warranty Deed (Conv),1,0.224,5536.82,65.284164,MADEIRA CSD,52501 - MADEIRA 01,YES(12),No,No,Yes,Yes,129050,143230,272280,0,2771.89,8013,,Sanoma Dr,"8013 Sanoma Dr, Cincinnati, OH 45243, USA",-84.35459519999999,39.1919666,2012,4,Cincinnati,,129050.0,74
202,525-0008-0032-00,7404 Euclid Ave,1469,510,1949,2012-06-29,181000,6,3,1,0,36728.0,WD - Warranty Deed (Conv),1,0.344,5930.6,65.284164,MADEIRA CSD,52506 - MADEIRA 06,YES(01),No,No,Yes,Yes,118440,173430,291870,0,2968.78,7404,,Euclid Ave,"7404 Euclid Ave, Madeira, OH 45243, USA",-84.3663832,39.19160530000001,2012,6,Madeira,,118440.0,75
203,525-0010-0032-00,7812 Tances Dr,1258,510,1957,2012-05-31,126500,6,3,2,0,272532.0,WD - Warranty Deed (Conv),1,0.167,7130.84,65.284164,MADEIRA CSD,52501 - MADEIRA 01,No,No,No,Yes,Yes,113680,237320,351000,0,3567.16,7812,,Tances Dr,"7812 Tances Dr, Cincinnati, OH 45243, USA",-84.35946609999999,39.2007173,2012,5,Cincinnati,,113680.0,67
204,525-0010-0146-00,7902 Dee St,1258,510,1952,2012-06-01,150000,6,3,1,0,294837.0,WD - Warranty Deed (Conv),1,0.164,6193.2,65.284164,MADEIRA CSD,52501 - MADEIRA 01,No,No,No,Yes,Yes,113680,191320,305000,0,3098.34,7902,,Dee St,"7902 Dee St, Madeira, OH 45243, USA",-84.3580363,39.1987807,2012,6,Madeira,,113680.0,72
205,525-0012-0031-00,7915 Mapleleaf Dr,1258,510,1953,2012-05-16,172000,6,3,2,0,60398.0,FD - Fiduciary Deed (Conv),1,0.138,6074.7,65.284164,MADEIRA CSD,52501 - MADEIRA 01,No,No,No,Yes,Yes,104400,194520,298920,0,3039.09,7915,,Mapleleaf Dr,"7915 Maple Leaf Dr, Madeira, OH 45243, USA",-84.3568118,39.2010221,2012,5,Madeira,,104400.0,71
206,527-0020-0040-00,6924 Thorndike Rd,1123,510,1949,2012-06-28,184900,6,3,1,0,123034.0,QE - Quit Claim Deed (EX),1,0.153,8749.34,71.219499,MARIEMONT CSD,52704 - MARIEMONT 04,No,No,No,Yes,Yes,242610,151230,393840,0,4376.7,6924,,Thorndike Rd,"6924 Thorndike Rd, Cincinnati, OH 45227, USA",-84.3748018,39.1465623,2012,6,Cincinnati,,242610.0,75
207,527-0020-0147-00,1 Albert Pl,1490,510,1927,2012-06-21,272500,6,3,1,0,253283.0,WD - Warranty Deed (Conv),1,0.136,7980.01,71.219499,MARIEMONT CSD,52701 - MARIEMONT 01,YES(21),No,No,Yes,Yes,239560,119440,359000,0,3994.07,1,,Albert Pl,"1 Albert Pl, Cincinnati, OH 45227, USA",-84.3762801,39.1436349,2012,6,Cincinnati,,239560.0,97
208,527-0020-0329-00,3720 Petoskey Ave,1336,510,1928,2012-05-03,279000,7,3,2,1,135572.0,WD - Warranty Deed (Conv),1,0.176,8119.15,71.219499,MARIEMONT CSD,52703 - MARIEMONT 03,No,No,No,Yes,Yes,151580,213580,365160,0,4063.64,3720,,Petoskey Ave,"3720 Petoskey Ave, Cincinnati, OH 45227, USA",-84.36938119999999,39.1438289,2012,5,Cincinnati,,151580.0,96
209,527-0020-0443-00,7009 Wooster Pk,1199,510,1946,2012-06-27,215500,7,4,2,0,151671.0,WD - Warranty Deed (Conv),1,0.143,7151.81,71.219499,MARIEMONT CSD,52703 - MARIEMONT 03,No,No,No,No,Yes,130310,180610,310920,0,3579.97,7009,,Wooster Pk,"7009 Wooster Pike, Cincinnati, OH 45227, USA",-84.3693401,39.1444348,2012,6,Cincinnati,,130310.0,78
210,527-0030-0146-00,4200 Grove Ave,1165,510,1939,2012-06-18,121000,5,3,1,0,293530.0,WD - Warranty Deed (Conv),1,0.122,5222.4,71.219499,MARIEMONT CSD,52703 - MARIEMONT 03,No,No,No,Yes,Yes,132990,102010,235000,0,2613.23,4200,,Grove Ave,"4200 Grove Ave, Cincinnati, OH 45227, USA",-84.3730566,39.1494969,2012,6,Cincinnati,,132990.0,85
211,527-0030-0165-00,6977 Bramble Hill Dr,1331,510,1946,2012-04-05,220000,7,4,3,0,33145.0,WD - Warranty Deed (Conv),1,0.172,7418.72,71.219499,MARIEMONT CSD,52703 - MARIEMONT 03,No,No,No,Yes,Yes,152580,181150,333730,0,3711.39,6977,,Bramble Hill Dr,"6977 Bramble Hill Dr, Cincinnati, OH 45227, USA",-84.3724201,39.1499727,2012,4,Cincinnati,,152580.0,78
212,527-0040-0091-00,3852 Settle Rd,1434,510,1936,2012-05-07,238000,6,3,1,0,242207.0,QE - Quit Claim Deed (EX),1,0.103,6937.59,71.219499,MARIEMONT CSD,52705 - MARIEMONT 05,No,No,No,Yes,Yes,150070,161990,312060,0,3472.86,3852,,Settle Rd,"3852 Settle Rd, Cincinnati, OH 45227, USA",-84.38586740000001,39.14719669999999,2012,5,Cincinnati,,150070.0,88
213,527-0040-0143-00,3869 Settle Rd,1380,510,1940,2012-05-17,212000,6,3,2,0,34838.0,WD - Warranty Deed (Conv),1,0.167,7474.47,71.219499,MARIEMONT CSD,52705 - MARIEMONT 05,No,No,No,Yes,Yes,166680,169280,335960,0,3741.3,3869,,Settle Rd,"3869 Settle Rd, Cincinnati, OH 45227, USA",-84.38625739999999,39.14816769999999,2012,5,Cincinnati,,166680.0,84
214,592-0001-0090-00,30 Ritchie Ave,1352,510,1926,2012-05-31,168500,6,3,1,1,235911.0,QE - Quit Claim Deed (EX),1,0.149,5048.2,61.983774,WYOMING CSD,59201 - WYOMING 01,No,No,No,Yes,No,65980,197160,263140,0,2524.1,30,,Ritchie Ave,"30 Ritchie Ave, Cincinnati, OH 45215, USA",-84.4728757,39.23904539999999,2012,5,Cincinnati,,65980.0,98
215,592-0001-0096-00,50 Ritchie Ave,1044,510,1931,2012-05-14,100000,5,2,2,0,,WE - Warranty Deed (EX),1,0.195,4410.7,61.983774,WYOMING CSD,59201 - WYOMING 01,No,No,No,No,No,85770,136070,221840,0,4410.7,50,,Ritchie Ave,"50 Ritchie Ave, Cincinnati, OH 45215, USA",-84.4738453,39.2391306,2012,5,Cincinnati,,85770.0,93
216,592-0001-0209-00,110 Ritchie Ave,1260,510,1990,2012-05-05,170000,5,2,2,0,272731.0,SV - Survivorship Deed (Conv),1,0.224,6181.36,61.983774,WYOMING CSD,59201 - WYOMING 01,YES(09),No,No,Yes,No,85260,237240,322500,0,3090.68,110,,Ritchie Ave,"110 Ritchie Ave, Cincinnati, OH 45215, USA",-84.47597259999999,39.2391921,2012,5,Cincinnati,,85260.0,34
217,592-0001-0213-00,130 Ritchie Ave,1305,510,1956,2012-05-25,183500,5,3,1,0,334667.0,QE - Quit Claim Deed (EX),1,0.209,5222.48,61.983774,WYOMING CSD,59201 - WYOMING 01,No,No,No,Yes,No,83520,188830,272350,0,2611.24,130,,Ritchie Ave,"130 Ritchie Ave, Wyoming, OH 45215, USA",-84.4770269,39.2393259,2012,5,Wyoming,,83520.0,68
218,592-0002-0218-00,1525 Maple Ave,934,510,1921,2012-05-02,154000,6,3,1,0,34117.0,WD - Warranty Deed (Conv),1,0.275,3999.16,61.983774,WYOMING CSD,59216 - WYOMING 16,No,No,No,Yes,No,56020,152330,208350,0,1999.58,1525,,Maple Ave,"1525 Maple Ave, Cincinnati, OH 45215, USA",-84.4687618,39.2406701,2012,5,Cincinnati,,56020.0,103
219,592-0003-0274-00,393 Fleming Rd,1269,510,1957,2012-06-04,122000,5,2,1,0,,WE - Warranty Deed (EX),1,0.401,4929.98,61.983774,WYOMING CSD,59201 - WYOMING 01,YES(13),No,Yes,Yes,No,121720,161890,283610,0,2464.99,393,,Fleming Rd,"393 Fleming Rd, Cincinnati, OH 45215, USA",-84.4905481,39.2352874,2012,6,Cincinnati,,121720.0,67
220,592-0013-0067-00,204 Grove Ave,1423,510,1937,2012-06-08,215400,6,2,1,0,190442.0,WD - Warranty Deed (Conv),1,0.188,5834.16,61.983774,WYOMING CSD,59207 - WYOMING 07,YES(00),No,No,Yes,No,102820,201550,304370,0,2917.08,204,,Grove Ave,"204 Grove Ave, Cincinnati, OH 45215, USA",-84.4668349,39.2227306,2012,6,Cincinnati,,102820.0,87
221,600-0030-0257-00,10824 Lakehurst Ct,1260,550,1978,2012-04-12,115000,6,3,2,1,273836.0,QE - Quit Claim Deed (EX),1,0.0,3755.62,49.620025,SYCAMORE CSD,60009 - MONTGOMERY TOWNE CONDO,No,No,No,No,Yes,19300,214890,234190,0,1880.83,10824,,Lakehurst Ct,"10824 Lakehurst Ct, Cincinnati, OH 45242, USA",-84.3443072,39.2616228,2012,4,Cincinnati,,19300.0,46
222,600-0030-0273-00,10837 Lakehurst Ct,1260,550,1977,2012-05-05,127000,6,3,2,1,216306.0,WD - Warranty Deed (Conv),1,0.0,3168.68,49.620025,SYCAMORE CSD,60009 - MONTGOMERY TOWNE CONDO,No,No,No,Yes,Yes,19300,184990,204290,0,1587.36,10837,,Lakehurst Ct,"10837 Lakehurst Ct, Cincinnati, OH 45242, USA",-84.34430499999999,39.2616,2012,5,Cincinnati,,19300.0,47
223,600-0030-0338-00,10885 Lake Thames Dr,1082,550,1979,2012-04-13,110000,5,2,1,1,107037.0,WD - Warranty Deed (Conv),1,0.0,3014.48,49.620025,SYCAMORE CSD,60009 - MONTGOMERY TOWNE CONDO,No,No,No,Yes,Yes,19300,175030,194330,0,1510.26,10885,,Lake Thames Dr,"10885 Lake Thames Dr, Cincinnati, OH 45242, USA",-84.3466286,39.2626471,2012,4,Cincinnati,,19300.0,45
224,603-0008-0098-00,9845 Tollgate Ln,1184,510,1957,2012-04-06,184000,6,3,2,1,33233.0,WD - Warranty Deed (Conv),1,0.351,5471.2,55.899522,SYCAMORE CSD,60305 - MONTGOMERY 05,No,No,No,Yes,Yes,114200,196820,311020,0,2736.75,9845,,Tollgate Ln,"9845 Tollgate Ln, Cincinnati, OH 45242, USA",-84.3534861,39.2348199,2012,4,Cincinnati,,114200.0,67
225,603-0009-0040-00,8160 Hopewell Rd,1385,510,1956,2012-05-24,151000,7,3,2,1,280148.0,WD - Warranty Deed (Conv),1,0.459,5613.63,55.899522,SYCAMORE CSD,60308 - MONTGOMERY 08,No,No,No,Yes,Yes,201760,117240,319000,0,2809.11,8160,,Hopewell Rd,"8160 Hopewell Rd, Cincinnati, OH 45242, USA",-84.34338,39.2438789,2012,5,Cincinnati,,201760.0,68
226,612-0030-0281-00,9146 Fidelis Dr,1359,510,1988,2012-05-04,190000,7,3,2,1,339657.0,WD - Warranty Deed (Conv),1,0.339,5283.81,47.604103,SYCAMORE CSD,61201 - BLUE ASH 01,No,No,No,Yes,Yes,56250,298750,355000,0,2644.93,9146,,Fidelis Dr,"9146 Fidelis Dr, Cincinnati, OH 45242, USA",-84.3711881,39.223333,2012,5,Cincinnati,,56250.0,36
227,612-0030-0405-00,9236 Lewis Ave,1458,510,1978,2012-06-08,155000,6,3,2,1,35776.0,WD - Warranty Deed (Conv),1,0.162,4047.68,47.604103,SYCAMORE CSD,61203 - BLUE ASH 03,No,No,No,Yes,Yes,84080,187980,272060,0,2025.35,9236,,Lewis Ave,"9236 Lewis Ave, Cincinnati, OH 45242, USA",-84.3763417,39.224978,2012,6,Cincinnati,,84080.0,46
228,612-0040-0417-00,4980 Ridgecrest Dr,1064,510,1957,2012-05-17,150000,6,3,1,0,161822.0,WE - Warranty Deed (EX),1,0.197,3050.82,47.604103,SYCAMORE CSD,61203 - BLUE ASH 03,No,No,No,No,Yes,79730,118490,198220,0,3050.82,4980,,Ridgecrest Dr,"4980 Ridgecrest Dr, Blue Ash, OH 45242, USA",-84.3739805,39.2282839,2012,5,Blue Ash,,79730.0,67
229,612-0040-0424-00,9491 Wynnecrest Dr,1064,510,1958,2012-04-20,158000,6,3,2,0,51267.0,WD - Warranty Deed (Conv),1,0.261,4352.83,47.604103,SYCAMORE CSD,61203 - BLUE ASH 03,No,Yes,No,No,Yes,97020,185680,282700,0,0.0,9491,,Wynnecrest Dr,"9491 Wynnecrest Dr, Cincinnati, OH 45242, USA",-84.3735288,39.2293548,2012,4,Cincinnati,,97020.0,66
230,612-0070-0050-00,4514 Victor Ave,1184,510,1953,2012-05-14,155900,6,4,1,1,139563.0,WD - Warranty Deed (Conv),1,0.138,3883.85,47.604103,SYCAMORE CSD,61203 - BLUE ASH 03,No,No,No,Yes,Yes,75600,184880,260480,0,1944.95,4514,,Victor Ave,"4514 Victor Ave, Blue Ash, OH 45242, USA",-84.3851078,39.2288203,2012,5,Blue Ash,,75600.0,71
231,612-0070-0105-00,9364 Lark Ct,1184,510,1953,2012-04-11,120000,4,1,1,0,33391.0,WD - Warranty Deed (Conv),1,0.209,3097.83,47.604103,SYCAMORE CSD,61203 - BLUE ASH 03,No,No,No,Yes,Yes,74600,133000,207600,0,1551.94,9364,,Lark Ct,"9364 Lark Ct, Cincinnati, OH 45242, USA",-84.384478,39.2278275,2012,4,Cincinnati,,74600.0,71
232,612-0070-0145-00,4413 Victor Ave,1184,510,1953,2012-06-08,132083,6,4,1,0,203078.0,SV - Survivorship Deed (Conv),1,0.138,3600.23,47.604103,SYCAMORE CSD,61203 - BLUE ASH 03,No,No,No,Yes,Yes,75600,165940,241540,0,1803.14,4413,,Victor Ave,"4413 Victor Ave, Blue Ash, OH 45242, USA",-84.3886899,39.2287601,2012,6,Blue Ash,,75600.0,71
233,612-0070-0300-00,9479 Hunters Creek Dr,990,550,1981,2012-05-05,103000,5,2,1,2,178484.0,WD - Warranty Deed (Conv),1,0.0,2388.88,47.604103,SYCAMORE CSD,61220 - TWIN LAKES CONDO,No,No,No,Yes,Yes,23400,136950,160350,0,1195.65,9479,,Hunters Creek Dr,"9479 Hunters Creek Dr, Blue Ash, OH 45242, USA",-84.3904767,39.2278788,2012,5,Blue Ash,,23400.0,43
234,612-0090-0224-00,9742 2A Troon Ct,1296,550,1993,2012-05-09,213500,5,3,2,1,219184.0,QE - Quit Claim Deed (EX),1,0.0,5674.78,47.604103,SYCAMORE CSD,61242 - TROON VILLAGE TOWNHOME CONDO,YES(13),No,No,Yes,Yes,45000,336550,381550,0,2838.6,9742,2A,Troon Ct,"9742 Troon Ct #2a, Blue Ash, OH 45236, USA",-84.39730159999999,39.2370924,2012,5,Blue Ash,,45000.0,31
235,612-0111-0083-00,93 Carpenters Ridge,1460,555,1981,2012-06-25,193200,6,3,2,2,46194.0,WD - Warranty Deed (Conv),1,0.082,5636.14,47.604103,SYCAMORE CSD,61244 - CARPENTERS RUN LANDO,No,No,No,Yes,Yes,84400,294530,378930,0,2819.28,93,,Carpenters Ridge,"93 Carpenters Ridge, Cincinnati, OH 45241, USA",-84.410336,39.24162200000001,2012,6,Cincinnati,,84400.0,43
236,612-0112-0067-00,2 Woodcreek Dr,1457,555,1984,2012-06-27,207500,6,2,2,0,171203.0,WD - Warranty Deed (Conv),1,0.129,5772.7,47.604103,SYCAMORE CSD,61245 - GLENS OF CARPENTER RUN LANDO,YES(13),No,Yes,Yes,Yes,75000,339650,414650,0,2887.56,2,,Woodcreek Dr,"2 Woodcreek Dr, Cincinnati, OH 45241, USA",-84.4030329,39.24084999999999,2012,6,Cincinnati,,75000.0,40
237,612-0121-0138-00,9836 Timbers Dr,1360,555,1985,2012-06-11,122000,5,2,2,1,296883.0,WD - Warranty Deed (Conv),1,0.014,2872.66,47.604103,SYCAMORE CSD,61212 - TIMBERS LANDO,No,No,No,Yes,Yes,28000,165000,193000,0,1437.54,9836,,Timbers Dr,"9836 Timbers Dr, Cincinnati, OH 45242, USA",-84.3929593,39.2383741,2012,6,Cincinnati,,28000.0,39
238,612-0140-0052-00,5360 Meyers Ln,1444,510,1956,2012-05-18,184050,6,3,2,0,34892.0,WD - Warranty Deed (Conv),1,0.362,4354.34,47.604103,SYCAMORE CSD,61209 - BLUE ASH 09,No,No,No,Yes,Yes,72000,220690,292690,0,2178.68,5360,,Meyers Ln,"5360 Meyers Ave, Cincinnati, OH 45242, USA",-84.370609,39.254809,2012,5,Cincinnati,,72000.0,68
239,612-0140-0058-00,5210 Meyers Ln,1157,510,1955,2012-04-06,180000,6,3,2,0,140638.0,WD - Warranty Deed (Conv),1,0.281,3690.07,47.604103,SYCAMORE CSD,61209 - BLUE ASH 09,No,No,No,Yes,Yes,54720,193080,247800,0,1848.06,5210,,Meyers Ln,"5210 Meyers Ave, Cincinnati, OH 45242, USA",-84.37182849999999,39.2550519,2012,4,Cincinnati,,54720.0,69
240,612-0140-0067-00,4966 Meyers Ln,1248,510,1953,2012-04-20,109000,6,3,1,0,56482.0,WD - Warranty Deed (Conv),1,0.402,3917.63,47.604103,SYCAMORE CSD,61209 - BLUE ASH 09,YES(13),No,No,Yes,Yes,68400,194380,262780,0,1961.84,4966,,Meyers Ln,"4966 Meyers Ave, Blue Ash, OH 45242, USA",-84.3734467,39.2552457,2012,4,Blue Ash,,68400.0,71
241,612-0140-0447-00,10432 Hickory Point Dr,1387,555,1983,2012-04-16,104000,6,3,3,1,329862.0,QE - Quit Claim Deed (EX),1,0.053,3774.38,47.604103,SYCAMORE CSD,61227 - HICKORY RIDGE LANDO,YES(13),No,No,Yes,Yes,40500,213190,253690,0,0.0,10432,,Hickory Point Dr,"10432 Hickory Point Dr, Cincinnati, OH 45242, USA",-84.3714337,39.2509752,2012,4,Cincinnati,,40500.0,41
242,612-0180-0186-00,10793 Fallsington Ct,1368,555,1984,2012-05-23,130500,6,3,2,2,335231.0,WD - Warranty Deed (Conv),1,0.041,3335.58,47.604103,SYCAMORE CSD,61236 - SYCAMORE VILLAGE LANDO,YES(13),No,No,Yes,Yes,30000,194200,224200,0,1669.0,10793,,Fallsington Ct,"10793 Fallsington Ct, Cincinnati, OH 45242, USA",-84.3605324,39.2572294,2012,5,Cincinnati,,30000.0,40
243,620-0070-0083-00,11765 Thistlehill Dr,1351,510,1958,2012-05-04,155000,6,3,1,1,34227.0,WD - Warranty Deed (Conv),1,0.608,4264.97,60.666397,LOVELAND CSD,62007 - SYMMES 07,No,No,No,Yes,Yes,40680,183900,224580,0,2140.05,11765,,Thistlehill Dr,"11765 Thistlehill Dr, Loveland, OH 45140, USA",-84.2952907,39.2812117,2012,5,Loveland,,40680.0,66
244,620-0070-0171-00,11787 Woodwind Dr,1092,510,1957,2012-05-08,110000,5,3,1,0,302046.0,FE - Fiduciary Deed (EX),1,0.479,4531.35,60.666397,LOVELAND CSD,62007 - SYMMES 07,YES(07),No,No,No,Yes,39290,191450,230740,0,2273.24,11787,,Woodwind Dr,"11787 Woodwind Dr, Loveland, OH 45140, USA",-84.2922067,39.2812225,2012,5,Loveland,,39290.0,67
